Run Number 8
Generation,Generation Average,Best Fitness Found
0,392.05,407
1,394.3,407
2,396.7,408
3,399.1,408
4,400.65,408
5,402.5,409
6,403.65,409
7,405,409
8,405.8,409
9,406.4,409
10,406.5,409
11,406.95,409
12,407.35,409
13,407.1,409
14,407.6,409
15,408,409
16,408.25,409
17,408.55,411
18,408.8,413
19,408.65,413
20,409.05,413
21,409.4,413
22,409.4,413
23,409.6,413
24,409.7,413
25,409.7,413
26,410.25,413
27,410.15,413
28,410.7,413
29,410.4,413
30,409.95,413
31,410.7,413
32,411.5,413
33,411.9,413
34,412.3,413
35,412.5,413
36,412.7,413
37,412.95,413
38,411.5,414
39,412.55,414
40,412.8,414
41,412.9,414
42,412.95,414
43,413,414
44,413.1,414
45,412.7,414
46,413.05,414
47,412.9,414
48,412.6,414
49,412.95,414
50,413.05,414
