<<<<<<< HEAD
Gen,GenAvg,BestFit
0,391.8,405
1,396,407
2,399.3,407
3,402.1,407
4,404.2,407
5,405.5,409
6,406.2,410
7,406.5,410
8,406.8,410
9,407.3,410
10,407.8,410
11,408.8,410
12,409.2,410
13,409.7,410
14,409.8,411
15,410.3,411
16,410.2,411
17,409.9,411
18,410.6,412
19,410.8,412
20,410.9,412
21,409.9,412
22,411.2,412
23,410.4,412
24,411.3,412
25,410.3,412
26,410.5,412
27,411.7,413
28,412,413
29,411.7,413
30,411.3,413
31,412.1,413
32,411.9,413
33,412.5,413
34,412,413
35,412.8,413
36,413,413
37,412.4,413
38,413,413
39,412.3,413
40,413,413
41,411.2,413
42,413,413
43,412.5,413
44,413,413
45,412.3,413
46,412.3,413
47,412.9,413
48,413,413
49,411.8,413
50,413,414
51,411.9,414
52,411.4,414
53,411.6,414
54,413.4,415
55,413.6,415
56,413.7,415
57,413.4,415
58,413.3,415
59,414.1,415
60,413.4,415
61,414.2,415
62,413.6,415
63,413.5,415
64,414.2,415
65,414.2,415
66,414.6,415
67,414.3,415
68,414.2,415
69,414.2,415
70,414.5,415
71,414.4,415
72,414,416
73,412.8,416
74,414.6,416
75,414.3,416
76,414.1,416
77,414.8,416
78,414.5,416
79,414.8,416
80,414.9,416
81,414.9,416
82,414.5,416
83,414.7,416
84,414.8,416
85,414.9,416
86,414.9,416
87,415.1,417
88,415.2,417
89,415.1,417
90,414.8,417
91,415.7,417
92,416.1,417
93,414.4,417
94,415.6,417
95,414.8,417
96,415.8,417
97,416.6,417
98,416.7,417
99,415.7,417
100,416.2,417
=======
Gen,GenAvg,BestFit
0,391.8,405
1,396,407
2,399.3,407
3,402.1,407
4,404.2,407
5,405.5,409
6,406.2,410
7,406.5,410
8,406.8,410
9,407.3,410
10,407.8,410
11,408.8,410
12,409.2,410
13,409.7,410
14,409.8,411
15,410.3,411
16,410.2,411
17,409.9,411
18,410.6,412
19,410.8,412
20,410.9,412
21,409.9,412
22,411.2,412
23,410.4,412
24,411.3,412
25,410.3,412
26,410.5,412
27,411.7,413
28,412,413
29,411.7,413
30,411.3,413
31,412.1,413
32,411.9,413
33,412.5,413
34,412,413
35,412.8,413
36,413,413
37,412.4,413
38,413,413
39,412.3,413
40,413,413
41,411.2,413
42,413,413
43,412.5,413
44,413,413
45,412.3,413
46,412.3,413
47,412.9,413
48,413,413
49,411.8,413
50,413,414
51,411.9,414
52,411.4,414
53,411.6,414
54,413.4,415
55,413.6,415
56,413.7,415
57,413.4,415
58,413.3,415
59,414.1,415
60,413.4,415
61,414.2,415
62,413.6,415
63,413.5,415
64,414.2,415
65,414.2,415
66,414.6,415
67,414.3,415
68,414.2,415
69,414.2,415
70,414.5,415
71,414.4,415
72,414,416
73,412.8,416
74,414.6,416
75,414.3,416
76,414.1,416
77,414.8,416
78,414.5,416
79,414.8,416
80,414.9,416
81,414.9,416
82,414.5,416
83,414.7,416
84,414.8,416
85,414.9,416
86,414.9,416
87,415.1,417
88,415.2,417
89,415.1,417
90,414.8,417
91,415.7,417
92,416.1,417
93,414.4,417
94,415.6,417
95,414.8,417
96,415.8,417
97,416.6,417
98,416.7,417
99,415.7,417
100,416.2,417
>>>>>>> c7cec7169edea7a901c9242ef34f1b79be23791c
