Gen,GenAvg,BestFit
0,390.6,400
1,394.8,401
2,397.2,401
3,398.9,401
4,399.5,401
5,399.9,401
6,400.6,401
7,400.8,401
8,400.9,401
9,401.1,402
10,401.2,402
11,401.4,402
12,401.9,405
13,402.4,405
14,403.2,405
15,404.1,408
16,405,408
17,406.1,408
18,406.8,409
19,407.2,409
20,407.9,409
21,408.1,409
22,408.5,409
23,408.7,409
24,408.9,409
25,409,409
26,409,409
27,409.1,410
28,409,410
29,409.1,410
30,409.5,411
31,409.7,411
32,409.7,411
33,409.9,411
34,410.2,413
35,411,413
36,411.1,413
37,411.6,413
38,411.9,413
39,412,413
40,412.5,413
41,412.6,413
42,412.8,413
43,412.9,413
44,413,413
45,412.6,413
46,413.1,414
47,413.2,414
48,413.4,414
49,413.6,414
50,413.8,414
