Run Number 17
Generation,Generation Average,Best Fitness Found
0,394.2,406
1,396.5,406
2,397.7,406
3,400.1,406
4,402.2,406
5,403.9,406
6,404.6,406
7,404.4,406
8,405.8,409
9,406.2,409
10,406.8,409
11,407.4,409
12,408,409
13,408.8,410
14,409.3,410
15,409.5,410
16,409.7,411
17,410,411
18,408.9,411
19,408.7,412
20,410,412
21,408.9,412
22,409.7,412
23,411.3,415
24,410.4,415
25,411.6,415
26,412.4,415
27,412.3,415
28,412.4,415
29,411.6,415
30,413.5,415
31,413.8,415
32,413.3,415
33,413.4,415
34,414.4,415
35,414,415
36,413.7,415
37,414.4,415
38,415,415
39,413.8,415
40,414,416
41,413.2,416
42,414,416
43,414.6,416
44,415.5,416
45,415.5,416
46,415.6,416
47,415.6,416
48,415.8,416
49,415.8,416
50,416,416
51,415.2,416
52,415.6,416
53,416,416
54,416,416
55,415.8,416
56,414.6,416
57,415.1,416
58,416.1,417
59,415.6,417
60,416,417
61,416.4,417
62,416.5,418
63,416.5,418
64,417,418
65,417.4,418
66,417.6,418
67,414.8,418
68,416.9,418
69,417.8,418
70,417.6,418
71,417.6,418
72,417.4,418
73,417.9,418
74,417.9,418
75,418,418
76,417.4,418
77,416.9,418
78,418,418
79,417.2,418
80,417.5,418
81,417.9,418
82,418,418
83,418,418
84,417.5,418
85,417.8,418
86,418,418
87,417.1,418
88,416.8,418
89,417.4,418
90,417.3,418
91,417.6,418
92,418,418
93,417.5,418
94,417.7,418
95,417.9,418
96,417,418
97,417.9,418
98,417.4,418
99,418,418
100,417.4,418
101,417.6,418
102,417.8,419
103,417.3,419
104,417.2,419
105,417.6,419
106,418,419
107,417.6,419
108,416.4,419
109,417.6,419
110,417.1,419
111,417.4,419
112,417.5,419
113,417.5,419
114,417.6,419
115,416.9,419
116,416.8,419
117,417.6,419
118,417.8,419
119,417.6,419
120,416.8,419
121,417.2,419
122,418,419
123,418,419
124,417.8,419
125,417.9,419
126,418.4,419
127,417.3,419
128,418.9,419
129,418.5,419
130,418.4,419
131,418.4,419
132,418.9,419
133,419,419
134,419,419
135,417.7,419
136,418.1,419
137,418.2,419
138,418,419
139,418.7,420
140,419.1,420
141,419.1,420
142,418.2,420
143,418.7,420
144,419.2,420
145,419,420
146,418.9,420
147,418.6,420
148,419.4,420
149,419.4,420
150,419.2,420
151,419.3,420
152,419.8,420
153,420,420
154,418.7,420
155,419.4,420
156,419.3,420
157,419.9,420
158,419.2,420
159,419.6,420
160,419.5,420
161,419.4,420
162,419.9,420
163,419.9,420
164,419.6,420
165,419.6,420
166,419.5,420
167,419.4,420
168,420,420
169,419.5,420
170,419.4,420
171,419.2,420
172,419.4,420
173,419.9,420
174,419.7,420
175,420,420
176,419.1,420
177,418.3,420
178,418.5,420
179,419,420
180,419.5,420
181,419.7,420
182,419.9,420
183,420,420
184,420,420
185,419.7,420
186,419.5,420
187,419.9,420
188,419.9,420
189,419.9,420
190,420,420
191,419.7,420
192,419.1,420
193,420,420
194,419.7,420
195,420,420
196,420,420
197,419.9,420
198,419.9,420
199,419.4,420
200,419.7,420
201,419.9,420
202,418.3,420
203,420,421
204,419.2,421
205,420.2,421
206,420.2,421
207,420.1,421
208,419.9,421
209,420.1,421
210,420,421
211,420.4,421
212,420.5,421
213,419.9,421
214,420.2,421
215,419.6,421
216,420,421
217,419.6,421
218,420.3,421
219,420.7,421
220,421,421
221,421,421
222,421,421
223,420.5,421
224,420.5,421
225,421,421
226,421,421
227,420.8,421
228,420.2,421
229,419.4,421
230,419.4,421
231,420.7,421
232,420,421
233,420.9,421
234,420,421
235,419.6,421
236,421,421
237,420.8,421
238,420.8,421
239,420.6,421
240,419.9,421
241,420.6,421
242,419.8,421
243,420.9,421
244,420.7,421
245,419.8,421
246,420.1,421
247,420.1,421
248,420.6,421
249,420.7,421
250,418.6,421
