Run Number 25
Generation,Generation Average,Best Fitness Found
0,390.8,401
1,395.1,401
2,397.1,401
3,398.3,401
4,399.6,402
5,400.6,403
6,401.5,403
7,402.1,404
8,402.6,404
9,403.1,404
10,403.2,404
11,403.5,404
12,403.6,404
13,403.8,404
14,403.3,404
15,403.8,404
16,404,404
17,403.9,404
18,403.8,404
19,403.9,404
20,404.1,405
21,404.1,405
22,404.1,405
23,404.2,405
24,404.7,406
25,404.8,406
26,405.3,406
27,405.1,407
28,405.7,407
29,406.1,407
30,406.6,408
31,407,408
32,407.3,408
33,406.5,408
34,407.3,408
35,407.6,408
36,407.6,408
37,407.6,408
38,407.7,408
39,407.8,408
40,407.7,408
41,407.7,408
42,407.5,409
43,407.6,409
44,407.9,409
45,408.3,409
46,408.3,409
47,408.6,409
48,407.4,410
49,409.1,410
50,409.3,410
51,409.1,410
52,409.6,410
53,409.4,410
54,409.8,411
55,409.5,411
56,410,411
57,410.2,411
58,409.3,411
59,409.6,411
60,409.6,411
61,410.4,411
62,410.1,411
63,410,412
64,411,412
65,411.5,413
66,411.3,413
67,411.4,413
68,412.3,414
69,412.8,414
70,413,414
71,413,414
72,413.5,414
73,412.6,414
74,412.6,414
75,413.5,414
76,413.6,414
77,413.9,414
78,413.1,414
79,413,414
80,413.5,414
81,413.5,414
82,413.4,414
83,413.1,414
84,413.1,414
85,413.8,415
86,413.2,416
87,413.6,416
88,413.8,416
89,413.4,416
90,414.1,416
91,414.5,416
92,414.4,416
93,415.2,416
94,414.9,416
95,415.8,416
96,416,416
97,415.3,416
98,416,416
99,415.5,416
100,416,416
101,414.8,416
102,415.1,416
103,413.8,416
104,415.8,416
105,415.8,416
106,415.6,416
107,415.7,416
108,415.2,416
109,415.8,416
110,416,416
111,415,416
112,416,416
113,414.5,416
114,415.2,416
115,415,416
116,415.2,416
117,416,416
118,415.2,416
119,415.8,416
120,415,416
121,415.7,416
122,415,416
123,415,416
124,414.9,416
125,414.6,416
126,413.5,416
127,414.7,416
128,415.5,416
129,415.9,416
130,415.8,416
131,414.4,416
132,415.3,417
133,416.2,417
134,416.1,417
135,416.4,417
136,416.4,417
137,416.3,417
138,416.7,417
139,416.8,417
140,416.7,417
141,416.6,417
142,416.8,417
143,417,417
144,415.1,417
145,416.9,417
146,416.8,417
147,417,417
148,415.8,417
149,417,417
150,415.8,417
151,416.4,417
152,417,418
153,416.7,418
154,417,418
155,417.2,418
156,416.8,418
157,417.4,418
158,417.3,418
159,417.2,418
160,417.8,418
161,417.5,418
162,417.7,418
163,417.5,418
164,417.9,418
165,418,418
166,417.2,418
167,417.6,418
168,416.9,418
169,417.6,418
170,416.4,418
171,418,418
172,418,418
173,417.7,418
174,417.6,418
175,417.8,418
176,417.3,418
177,417.9,420
178,418,420
179,418.3,420
180,418.1,420
181,418.2,420
182,418.3,420
183,418,420
184,417.3,420
185,418.7,420
186,418.6,420
187,416.8,420
188,417.9,420
189,419.5,420
190,419.7,420
191,420,421
192,419.6,421
193,418.8,421
194,418.7,421
195,419.6,421
196,419.7,421
197,419.7,421
198,420,421
199,419.8,421
200,420.6,421
201,420.7,421
202,420.6,421
203,420.3,421
204,419.3,421
205,420.4,421
206,420.8,421
207,420.7,421
208,419,421
209,420.8,421
210,419.9,421
211,420.2,421
212,419.8,421
213,420.9,421
214,419.2,421
215,420.7,421
216,420.3,421
217,420.5,421
218,420.4,421
219,419.9,421
220,420.7,421
221,419.4,421
222,418.6,421
223,418.1,421
224,420,421
225,419.6,421
226,419.4,421
227,420.5,421
228,420,421
229,420.5,421
230,419.8,421
231,420,421
232,420.8,421
233,420.1,421
234,420.8,421
235,420.9,421
236,420.5,421
237,420.9,421
238,420.5,421
239,420,421
240,420.3,421
241,420.8,421
242,421,421
243,421,421
244,421,421
245,420.1,421
246,420.2,421
247,418,421
248,420.8,421
249,419.8,421
250,420.2,421
