Run Number 2
Generation,Generation Average,Best Fitness Found
0,392.3,404
1,394.4,404
2,396.25,404
3,397.55,404
4,399.05,404
5,400.4,404
6,401.4,405
7,402.4,406
8,403.15,406
9,403.75,406
10,404.45,407
11,404.9,407
12,405.15,407
13,405.45,407
14,405.7,407
15,405.9,407
16,406.25,408
17,406.4,408
18,406.65,408
19,407,409
20,407.25,409
21,407.5,409
22,407.35,409
23,407.85,409
24,407.85,409
25,408,409
26,408.05,409
27,408.2,409
28,408.25,409
29,407.9,409
30,408.35,409
31,408.65,409
32,408.75,409
33,408.65,409
34,408.5,409
35,408.7,409
36,408.95,409
37,409,409
38,409,409
39,408.9,409
40,409,409
41,408.75,409
42,408.8,409
43,408.9,409
44,409,409
45,409,409
46,408.95,409
47,408.9,410
48,409.1,410
49,409,410
50,409,410
51,409.25,410
52,409.15,411
53,409.4,411
54,409.5,412
55,409.45,412
56,409.8,412
57,409.95,412
58,410,412
59,410.1,412
60,410.55,412
61,410.4,412
62,410.95,412
63,410.9,412
64,411,412
65,411.35,412
66,411.4,412
67,411.4,412
68,411.5,412
69,411.8,412
70,411.8,412
71,411.95,412
72,412,412
73,411.75,412
74,412,412
75,412,412
76,412,412
77,412,412
78,412,412
79,412,412
80,412,412
81,412,412
82,412,412
83,412,412
84,412,412
85,411.5,412
86,412,412
87,412,412
88,411.95,412
89,412,412
90,412.05,413
91,411.55,413
92,412.05,413
93,412.1,413
94,412.2,413
95,412.3,413
96,412.45,414
97,412.5,414
98,412.5,414
99,412.75,414
100,412.95,414
