Run Number 16
Generation,Generation Average,Best Fitness Found
0,387.75,399
1,390.2,399
2,391.9,400
3,393.35,400
4,394.7,400
5,395.7,400
6,396.65,400
7,397.4,401
8,398.3,401
9,399.2,401
10,399.95,401
11,400.15,401
12,400.5,404
13,400.85,404
14,401.35,405
15,401.85,406
16,402.3,406
17,403,408
18,403,408
19,403.65,408
20,404.4,409
21,404.95,409
22,405.55,409
23,406.15,409
24,406.8,409
25,406.95,409
26,407.45,409
27,407.9,410
28,408.2,410
29,408.5,410
30,408.8,411
31,409.1,411
32,409.4,411
33,409.7,411
34,410.1,413
35,410.3,413
36,410.55,413
37,410.9,413
38,411.25,413
39,411.55,413
40,411.85,413
41,412.1,414
42,412.25,414
43,412.6,415
44,412.85,415
45,413.25,415
46,413.6,415
47,413.8,415
48,414,415
49,414.15,415
50,414.3,415
51,414.5,416
52,414.3,416
53,414.2,416
54,414.5,416
55,414.65,416
56,414.85,416
57,415.05,416
58,415,416
59,415.15,416
60,415.15,416
61,415.15,416
62,415.3,416
63,415.45,417
64,415.8,417
65,415.95,417
66,416.15,417
67,416.25,417
68,416.4,418
69,416.55,418
70,416.6,418
71,416.7,418
72,416.9,418
73,416.7,418
74,417.05,418
75,417.1,418
76,417.1,418
77,417.4,418
78,417.35,418
79,417.5,418
80,417.6,418
81,417.65,418
82,417.6,418
83,417.6,418
84,417.7,418
85,417.9,418
86,417.85,418
87,417.85,418
88,417.95,418
89,417.5,418
90,417.85,418
91,417.9,418
92,416.95,418
93,417.9,418
94,417.9,418
95,417.8,418
96,417.95,418
97,417.75,418
98,417.95,418
99,417.85,418
100,417.9,418
