Gen,GenAvg,BestFit
0,393.35,405
1,395.35,407
2,397,407
3,398.55,407
4,400.05,407
5,401.45,407
6,402.85,408
7,404.05,408
8,405.1,408
9,406,408
10,406.65,408
11,406.9,408
12,407.2,408
13,407.4,408
14,407.55,408
15,407.7,409
16,407.75,409
17,407.9,409
18,408.05,409
19,408.2,409
20,408.25,409
21,408.3,409
22,408.4,409
23,408.4,409
24,408.4,409
25,408.75,413
26,409.1,413
27,409.6,413
28,410.2,414
29,410.65,414
30,410.95,414
31,411.35,414
32,411.5,414
33,412.05,414
34,412.4,414
35,412.55,414
36,412.85,414
37,412.85,414
38,413.3,414
39,413.55,414
40,413.7,414
41,413.8,414
42,413.75,414
43,413.65,414
44,413.85,414
45,414,414
46,413.6,414
47,413.8,414
48,413.7,414
49,414,414
50,414,414
51,414,414
52,413.7,414
53,413.7,414
54,414,414
55,414,414
56,414,414
57,414,414
58,412.9,414
59,413.25,414
60,413.9,414
61,413.65,414
62,413.95,414
63,413.55,414
64,414,414
65,413.45,414
66,413.4,414
67,413.8,414
68,414,414
69,414,414
70,413.7,414
71,414,414
72,413.25,414
73,413.65,414
74,413.7,414
75,413.7,414
76,413.8,414
77,414,414
78,413.9,414
79,414,414
80,413.9,414
81,413.4,414
82,413.85,414
83,413.6,414
84,413.7,414
85,413.8,414
86,414,414
87,413.9,414
88,414,414
89,413.8,414
90,413.95,415
91,414.1,415
92,414.05,415
93,414.1,415
94,414.2,415
95,414.25,415
96,414.35,415
97,414.4,415
98,414.5,415
99,414.55,415
100,414.5,415
