Gen,GenAvg,BestFit
0,392.2,403
1,394.05,406
2,395.25,406
3,396.6,406
4,398.1,406
5,399.55,406
6,400.75,406
7,401.75,406
8,402.65,406
9,403.3,406
10,404.3,411
11,404.9,411
12,405.7,412
13,406.25,413
14,407.25,414
15,407.5,414
16,408.15,415
17,408.55,415
18,409.7,416
19,409.65,416
20,410.4,416
21,411.35,416
22,411.85,416
23,412.6,416
24,413.35,416
25,413.65,416
26,414,416
27,413.8,416
28,414.7,416
29,414.75,416
30,414.55,416
31,414.8,416
32,414.7,416
33,415,416
34,415.1,416
35,415.05,416
36,415.35,416
37,415.65,416
38,415.25,416
39,415.9,416
40,415.75,416
41,415.8,416
42,415.4,416
43,415.7,416
44,415.75,416
45,416,416
46,415.2,416
47,415.5,416
48,415.3,416
49,415.65,416
50,415.75,416
51,416,416
52,415.9,416
53,416,416
54,415.75,416
55,416.05,417
56,416.1,417
57,416.1,417
58,416.15,417
59,416.25,417
60,415.75,417
61,416.05,418
62,416.5,418
63,416.65,418
64,416.25,418
65,416.7,418
66,416.9,418
67,417.05,418
68,417.15,418
69,417.2,418
70,417.3,418
71,417.45,418
72,417.5,418
73,417.5,418
74,417.5,418
75,417.2,418
76,417.65,418
77,417.65,418
78,417.65,418
79,417.3,418
80,417.7,418
81,417.75,418
82,417.8,418
83,417.2,418
84,417.8,418
85,417.45,418
86,417.95,418
87,417.9,418
88,417.75,418
89,417.7,418
90,418,418
91,417.35,418
92,417.6,418
93,417.7,418
94,417.7,418
95,417.5,418
96,417.35,418
97,417.6,418
98,417.55,418
99,417.6,418
100,417.6,418
101,417.8,418
102,417.95,418
103,417.9,418
104,417.85,418
105,417.3,418
106,417.25,418
107,417.6,418
108,417.7,419
109,417.85,419
110,417.8,419
111,417.85,420
112,418,420
113,417.75,420
114,416.5,420
115,417.3,420
116,418.25,420
117,418.25,420
118,418.4,420
119,418.65,420
120,418.6,420
121,418.75,420
122,418.9,420
123,418.8,420
124,419.1,420
125,418.7,420
126,419.4,420
127,419.4,420
128,419.65,420
129,419.5,420
130,419.1,420
131,419.45,420
132,419.35,420
133,419.7,420
134,419.3,420
135,419.45,420
136,419.6,420
137,419.6,420
138,419.6,420
139,419.6,420
140,419.6,420
141,419.7,420
142,419.35,420
143,419.95,420
144,419.7,420
145,419.95,420
146,419.95,420
147,419.8,420
148,419.95,420
149,419.95,420
150,419.75,420
151,419.95,420
152,419.4,420
153,419.15,420
154,419.15,420
155,419.6,420
156,419.2,420
157,420,420
158,419.8,420
159,419.9,420
160,420,420
161,418.4,420
162,419.15,420
163,419.75,420
164,419.75,420
165,419.35,420
166,419.5,420
167,419.65,420
168,419.7,420
169,419.7,420
170,419.75,420
171,419.7,420
172,420,420
173,419.4,420
174,419.75,420
175,419.8,420
176,419.7,420
177,419.2,420
178,420,420
179,419.75,420
180,419.75,420
181,419.95,420
182,419.3,420
183,419.95,420
184,419.8,420
185,419.75,420
186,419.8,420
187,419.8,420
188,418.85,420
189,419.8,420
190,420,420
191,419.6,420
192,419.75,420
193,418.9,420
194,419.8,420
195,419.45,420
196,418.9,420
197,419.8,420
198,419.35,420
199,419.7,420
200,419.4,420
201,419.6,420
202,419.75,420
203,419.95,420
204,419.45,420
205,419.85,420
206,419.8,420
207,419.8,420
208,419,420
209,419.45,420
210,420,420
211,419.05,420
212,419.7,420
213,420,420
214,419.55,420
215,419.6,420
216,419.15,420
217,419.45,420
218,419.85,420
219,419.15,420
220,419.65,420
221,419.85,420
222,419.55,420
223,419.95,420
224,419.8,420
225,420,420
226,419.85,420
227,419.6,420
228,420.05,421
229,419.2,421
230,419.75,421
231,419.95,421
232,419.9,421
233,420,421
234,419.55,421
235,420.25,421
236,420.05,421
237,420.3,421
238,420.35,421
239,420.4,421
240,420.1,421
241,420.4,421
242,420.45,421
243,420.5,421
244,420.75,421
245,420.85,421
246,420.65,421
247,421,421
248,420.85,421
249,420.75,421
250,420.35,421
