Run Number 24
Generation,Generation Average,Best Fitness Found
0,394.15,406
1,397.2,407
2,398.65,407
3,399.7,407
4,400.55,407
5,401.25,407
6,402.25,407
7,403.2,407
8,404,407
9,404.7,408
10,405.3,408
11,406,410
12,406.15,410
13,406.55,410
14,407.2,410
15,407.75,410
16,407.9,410
17,408.3,410
18,408.1,410
19,408.1,410
20,408.4,410
21,408.7,410
22,408.75,410
23,409.05,410
24,409,410
25,409.05,410
26,409.05,410
27,408.55,410
28,409.2,410
29,409.15,410
30,409.4,410
31,409.55,410
32,409.6,410
33,409.75,410
34,409.85,410
35,409.3,410
36,409.7,410
37,410,410
38,409.2,410
39,410,410
40,409.8,410
41,409.95,410
42,409.75,410
43,410,411
44,410.15,411
45,410.25,411
46,410.2,411
47,410.1,411
48,409.85,411
49,409.6,411
50,410.2,411
