Run Number 7
Generation,Generation Average,Best Fitness Found
0,390.6,405
1,392.65,406
2,395.15,408
3,398.1,412
4,400.3,412
5,402.2,412
6,404.05,413
7,405.6,413
8,407.1,415
9,408.05,415
10,409.55,415
11,410.7,415
12,411.75,416
13,412.7,416
14,413.2,416
15,413.85,416
16,413.9,416
17,413.9,416
18,414.35,416
19,414.4,416
20,414.85,417
21,415.2,417
22,415.4,417
23,415.65,417
24,415.75,418
25,415.6,418
26,416.15,419
27,416.45,419
28,416.85,419
29,417.35,421
30,417.85,421
31,418.05,421
32,418.45,421
33,418.65,421
34,419.25,424
35,419.2,424
36,418.95,424
37,419.95,424
38,420.25,424
39,420.1,424
40,420.2,424
41,420.35,424
42,420.9,424
43,421,424
44,421.4,424
45,421.85,424
46,421.6,424
47,422.6,424
48,422.9,424
49,422.55,424
50,422.8,424
