Gen,GenAvg,BestFit
0,393.05,405
1,394.15,405
2,395.5,405
3,397.65,411
4,399.25,411
5,400.9,411
6,402.5,411
7,403.65,411
8,405,411
9,406.3,411
10,407.6,411
11,408.55,411
12,409.3,411
13,409.95,411
14,410.1,411
15,410.45,411
16,410.35,411
17,410.65,411
18,410.7,411
19,410.8,411
20,410.9,411
21,410.6,411
22,411,411
23,410.9,411
24,411,412
25,410.95,412
26,410.55,412
27,411.05,412
28,411.2,412
29,411.2,412
30,410.95,412
31,411.4,412
32,411.35,412
33,411.4,412
34,411.55,412
35,411.65,412
36,411.4,412
37,411.65,412
38,411.75,412
39,411.75,412
40,411.85,412
41,411.65,412
42,411,412
43,411.85,412
44,412,412
45,411.9,412
46,411.95,412
47,411.8,412
48,411.85,412
49,411.95,412
50,411.75,412
