Gen,GenAvg,BestFit
0,385.95,398
1,388,398
2,390.4,398
3,392.05,398
4,393.8,399
5,395.05,399
6,395.65,399
7,396.2,399
8,397.2,404
9,398.05,404
10,399.05,405
11,399.55,405
12,400.55,407
13,401.5,408
14,402.45,408
15,403.4,408
16,403.9,408
17,404.8,408
18,405.65,408
19,406.45,408
20,406.85,408
21,407.25,409
22,407.45,409
23,407.7,409
24,407.6,409
25,407.95,409
26,407.9,409
27,407.95,409
28,408.4,410
29,408.55,410
30,408.6,410
31,408.85,411
32,409.05,411
33,409.25,411
34,409.45,411
35,409.6,411
36,409.85,412
37,410.05,412
38,410.3,412
39,410.6,412
40,410.85,412
41,411.05,412
42,411.15,412
43,411.35,413
44,411.6,413
45,411.8,413
46,412,413
47,412.2,413
48,412.35,414
49,412.6,415
50,412.75,415
