Gen,GenAvg,BestFit
0,395.6,411
1,398.5,411
2,400.2,411
3,401.6,411
4,401.6,411
5,402.9,411
6,402.8,411
7,404.4,413
8,404.9,413
9,406.3,413
10,407.3,413
11,409,413
12,410.6,413
13,411.2,413
14,412.6,414
15,412.2,414
16,413.2,414
17,413.4,414
18,413.4,414
19,413.4,414
20,413.1,414
21,413.3,414
22,413,414
23,413.8,414
24,413.8,414
25,413.1,414
26,412.7,414
27,412.4,414
28,413.6,414
29,414,414
30,413.7,414
31,414,414
32,414.1,415
33,414.1,415
34,413.8,415
35,412.7,415
36,414.1,415
37,414.4,415
38,414.1,415
39,413.4,415
40,414.6,415
41,413,416
42,413.8,416
43,413.7,416
44,414.9,416
45,414.4,416
46,415.1,416
47,415.4,416
48,415.1,416
49,414.9,416
50,415.1,416
51,415.1,416
52,415.2,416
53,415.2,416
54,415.4,416
55,413.3,416
56,415.4,416
57,416,416
58,414.1,416
59,415.5,416
60,415.7,416
61,415.4,416
62,414.9,416
63,415.2,416
64,415.5,416
65,415.7,416
66,415.5,416
67,415.9,416
68,415.4,416
69,416,416
70,415.9,416
71,414.6,416
72,415.4,416
73,415.2,416
74,416,416
75,415.3,416
76,414.3,416
77,414.5,416
78,415.5,416
79,415.6,416
80,415.8,416
81,415.9,416
82,416,416
83,416,416
84,415.3,416
85,415.6,418
86,416.3,418
87,415.1,418
88,416,418
89,415.2,418
90,416.5,418
91,416.9,418
92,416.6,418
93,417.3,418
94,416.2,418
95,417.7,418
96,417.2,418
97,418.1,419
98,417.8,419
99,417.7,419
100,418.4,419
101,418,419
102,418.6,419
103,417.8,419
104,418.1,419
105,418.7,419
106,418.7,419
107,417.6,419
108,418.9,419
109,418.8,419
110,417.4,419
111,418.5,419
112,418.8,419
113,418.9,419
114,419,419
115,419,419
116,419,419
117,418.5,419
118,418.5,419
119,417.9,419
120,418,419
121,417.7,419
122,418.3,419
123,417.2,419
124,417,419
125,418.2,419
126,418.7,419
127,418.7,419
128,418.5,419
129,418.4,419
130,417.2,419
131,418.9,420
132,419.2,420
133,416.6,420
134,416.7,420
135,418.1,420
136,418.9,420
137,418.2,420
138,418.9,420
139,418.9,420
140,419,420
141,419.1,420
142,417.1,420
143,418.2,420
144,419.6,420
145,417.9,420
146,419.4,420
147,419.2,420
148,418.4,420
149,417.9,420
150,418.6,420
151,418,420
152,419.7,420
153,419.3,420
154,417.5,420
155,419.1,420
156,419.9,420
157,420,420
158,418.5,420
159,420,420
160,419.9,420
161,419.4,420
162,417.8,420
163,417.3,420
164,418.3,420
165,419.2,420
166,419.3,420
167,418,420
168,420,420
169,419.9,420
170,419.4,420
171,420,420
172,417.7,420
173,419.4,420
174,418.3,420
175,419.1,420
176,419.8,420
177,418.8,420
178,420,420
179,420,420
180,420,420
181,419.9,420
182,417.9,420
183,420.1,422
184,420.3,422
185,419.4,422
186,420.8,422
187,420.7,422
188,419.9,422
189,421,422
190,421.2,422
191,421.7,422
192,421.9,422
193,421.5,422
194,420.4,422
195,421.5,422
196,421.6,422
197,421.4,422
198,421.6,422
199,420.6,422
200,420.9,422
201,420.2,422
202,421.3,422
203,421.6,422
204,421.6,422
205,421.7,422
206,420.2,422
207,421.9,422
208,421.1,422
209,421.3,422
210,419.9,422
211,421.1,422
212,419,422
213,421.6,422
214,417.9,422
215,420.8,422
216,421.9,422
217,421.4,422
218,419.4,422
219,421,422
220,421.2,422
221,420,422
222,421.4,422
223,421.7,422
224,421.6,422
225,420.3,422
226,418.9,422
227,421,422
228,421,422
229,420.8,422
230,421.6,422
231,420.9,422
232,422,423
233,420.6,423
234,421.8,423
235,422.1,423
236,422,423
237,421,423
238,422.4,423
239,420.5,423
240,421.7,423
241,422.5,423
242,420.7,423
243,422.6,423
244,421.5,423
245,422.6,423
246,422.8,423
247,422.4,423
248,422.4,423
249,423,423
250,422.9,423
