Run Number 23
Generation,Generation Average,Best Fitness Found
0,390.6,400
1,392.8,400
2,395.4,400
3,397.9,404
4,399.7,405
5,399.8,405
6,400.1,405
7,400.3,405
8,401.9,405
9,401.5,405
10,403.3,407
11,403.6,407
12,404.8,407
13,405,407
14,405.3,407
15,405.4,407
16,405.5,407
17,405,407
18,406.3,410
19,406.2,410
20,407.6,410
21,408.1,410
22,408.4,410
23,409.2,410
24,409.7,410
25,408.6,410
26,409.6,410
27,409.8,410
28,409.8,410
29,409.6,410
30,410,410
31,408.5,410
32,410.1,411
33,410.1,411
34,409.4,411
35,410.4,411
36,410.5,411
37,409.9,411
38,410.5,411
39,410.3,411
40,410.6,411
41,410.8,411
42,410,411
43,410.6,411
44,410.9,411
45,410.4,411
46,410.8,411
47,410,411
48,410.9,411
49,410.9,411
50,410.9,411
51,411.1,412
52,411.3,412
53,411.5,413
54,411.6,415
55,411.6,415
56,412.5,415
57,413.5,415
58,414.1,415
59,413.5,415
60,414.8,415
61,415,415
62,415,415
63,415,415
64,414.9,416
65,415.1,416
66,415.3,416
67,415.1,416
68,414.5,416
69,415.4,416
70,415.4,416
71,415.4,416
72,414.5,416
73,415.5,416
74,415.5,416
75,415.3,416
76,415.9,416
77,416,416
78,415.2,416
79,415.4,416
80,414.5,416
81,415.8,416
82,415.1,416
83,415.6,416
84,415.9,416
85,415.8,416
86,416,416
87,415.5,416
88,415.8,416
89,415.9,416
90,416,416
91,415.7,417
92,416.3,417
93,416.5,417
94,416.3,417
95,416.8,417
96,417.1,418
97,416.8,418
98,417.2,418
99,417.4,418
100,416.5,418
101,417.4,418
102,417.7,418
103,417.8,418
104,417.5,418
105,418,418
106,417,418
107,417.8,418
108,416.5,418
109,415.8,418
110,417.8,418
111,418,418
112,417.4,418
113,417.7,418
114,416.6,418
115,417.7,419
116,417.1,419
117,417.9,419
118,418.3,419
119,418.4,419
120,418.4,419
121,418.7,419
122,419.1,420
123,418.7,420
124,418.3,420
125,418.3,420
126,418.9,420
127,419.2,420
128,418.9,420
129,419.4,420
130,419.6,420
131,418.8,420
132,419.8,420
133,419.8,420
134,419.3,420
135,418.6,420
136,419.2,420
137,418.6,420
138,419.2,420
139,419.1,420
140,419.1,420
141,418.2,420
142,419.6,420
143,418.2,420
144,419.9,420
145,419.5,420
146,418.8,420
147,419.8,420
148,419.4,420
149,419.4,421
150,420,421
151,420,421
152,420.3,421
153,419.9,421
154,420.2,421
155,420.5,421
156,420.6,421
157,420.5,421
158,420.6,421
159,420.7,421
160,420.9,421
161,419.3,421
162,420.1,421
163,420.6,421
164,420.6,421
165,420.7,421
166,421,421
167,420.6,421
168,419.7,421
169,420.5,421
170,420.7,421
171,420.9,421
172,419.2,421
173,420.8,421
174,420.5,421
175,419,421
176,420.5,421
177,420.9,421
178,418.4,421
179,420.8,421
180,420.2,421
181,420.6,421
182,420.3,421
183,420.4,421
184,420.8,421
185,420.4,421
186,421,421
187,420.1,421
188,420.9,421
189,420.6,421
190,420.1,421
191,419.9,421
192,419.6,421
193,420.3,421
194,420.5,421
195,420,421
196,419.8,421
197,418.3,421
198,419.5,421
199,420.7,421
200,420.9,421
201,419,421
202,419.1,421
203,417.8,421
204,420.5,421
205,420.8,421
206,420.4,421
207,420.5,421
208,421,421
209,420.4,421
210,420.8,421
211,420.4,421
212,420,421
213,419.7,421
214,419.9,421
215,420.3,421
216,419.6,421
217,419.6,421
218,420.4,421
219,420.9,421
220,419,421
221,421,421
222,419.6,421
223,420.3,421
224,420.3,421
225,420.7,421
226,420.4,421
227,420.8,421
228,418.9,421
229,419.2,421
230,420.1,421
231,420.6,421
232,419.9,421
233,419.7,421
234,420,421
235,420.8,421
236,420.8,421
237,420,421
238,421,421
239,420.7,421
240,420.9,421
241,420.7,421
242,421,421
243,421,421
244,420.9,421
245,418.1,421
246,420.3,421
247,418.6,421
248,419.6,421
249,420,421
250,420.3,421
