Gen,GenAvg,BestFit
0,395,404
1,397.6,404
2,399.4,404
3,399.5,404
4,401.6,410
5,403.3,410
6,402.3,410
7,403.7,410
8,405.8,410
9,406.4,410
10,408.5,411
11,409.4,411
12,409.9,411
13,410.4,412
14,410.8,412
15,411.1,412
16,411.5,412
17,411.6,412
18,411.7,412
19,411.9,412
20,412,412
21,412,412
22,411.4,412
23,412.2,413
24,412.2,413
25,412.1,413
26,412.6,413
27,412.8,414
28,412.8,414
29,413.4,414
30,412.3,414
31,413.1,414
32,413.5,416
33,414,416
34,414.7,417
35,415.3,417
36,413.7,417
37,416,417
38,416.3,417
39,416.4,417
40,416.8,418
41,416.5,418
42,416.2,418
43,416.8,418
44,417,418
45,417,418
46,415.8,418
47,417.3,418
48,416.3,418
49,415.9,418
50,416,418
51,416.1,418
52,414.5,418
53,416.5,418
54,416.7,418
55,417.2,418
56,416.8,418
57,417.3,418
58,415.3,418
59,416.7,418
60,413.9,418
61,416.2,418
62,416.3,418
63,415.5,418
64,416.9,418
65,415.9,418
66,417.4,418
67,414.6,418
68,415,418
69,417.9,420
70,417,420
71,418.1,420
72,416.7,420
73,418.4,420
74,418.8,420
75,419,420
76,418.7,420
77,419.2,420
78,419.2,420
79,419.5,420
80,419,420
81,418.8,420
82,416.3,420
83,418.7,420
84,419.8,420
85,419.2,420
86,419,420
87,419.8,420
88,419.6,420
89,420.2,422
90,417,422
91,420.1,422
92,419.3,422
93,418.8,422
94,418.1,422
95,419.1,422
96,420.5,422
97,420.7,422
98,420.8,422
99,418,422
100,421.3,422
101,420.2,422
102,421.4,422
103,420.9,422
104,421.6,422
105,421.7,422
106,421.8,422
107,420.9,422
108,422,423
109,421.5,423
110,421.6,423
111,422.2,423
112,422.3,423
113,422.2,423
114,421.9,423
115,422.2,423
116,421.9,423
117,422.1,423
118,421.3,423
119,422.8,423
120,422.7,423
121,422.5,423
122,422.9,423
123,423.1,424
124,419.7,424
125,422,424
126,422.8,424
127,423.5,424
128,423.6,424
129,423.7,424
130,422.1,424
131,422.7,424
132,423.3,424
133,424.3,427
134,424,427
135,423.6,427
136,423.3,427
137,423.4,427
138,423.8,427
139,423.5,427
140,424.2,427
141,423.8,427
142,424,427
143,424.4,427
144,422.3,427
145,424,427
146,424.8,427
147,425,427
148,424.8,427
149,423.9,427
150,424.1,427
151,425.7,427
152,425.8,427
153,424.9,427
154,426.3,427
155,426.2,427
156,426.4,427
157,424.9,427
158,426.3,427
159,424.6,427
160,426.5,427
161,425.4,427
162,426.8,427
163,426.5,427
164,426.4,427
165,426.1,427
166,426.9,427
167,426.7,427
168,426,427
169,426.8,427
170,427.1,428
171,425.5,428
172,426.9,428
173,426.2,428
174,425.9,428
175,424,428
176,424.9,428
177,426.3,428
178,426.8,428
179,425.5,428
180,426.4,428
181,425.8,428
182,425.3,428
183,426.1,428
184,426.3,428
185,426.9,428
186,424.5,428
187,426.7,428
188,424.4,428
189,427.4,428
190,425.2,428
191,427.6,428
192,427.7,428
193,427.7,428
194,427.9,428
195,427.9,428
196,428,428
197,426.4,428
198,427.3,428
199,428,428
200,426.4,428
201,427,428
202,427.1,428
203,426.3,428
204,427.4,428
205,427.6,428
206,425.6,428
207,427.4,428
208,424.4,428
209,425.9,428
210,427.7,428
211,426.7,428
212,427.1,428
213,425.6,428
214,426.6,428
215,427.4,428
216,425.1,428
217,426.1,428
218,427.8,428
219,424.8,428
220,427.1,428
221,427.6,428
222,425.9,428
223,426.7,428
224,425.6,428
225,426,428
226,426.3,428
227,426.3,428
228,427.4,428
229,428,428
230,427.7,428
231,426.6,428
232,427.5,428
233,427.3,428
234,426.8,428
235,427.6,428
236,426.7,428
237,427.5,428
238,427.7,428
239,427.8,428
240,426.3,428
241,427.9,428
242,427.5,428
243,427.9,428
244,427.5,428
245,427,428
246,424.6,428
247,426,428
248,427.6,428
249,427.4,428
250,427.5,428
