Run Number 5
Generation,Generation Average,Best Fitness Found
0,392.8,408
1,398,408
2,399.4,408
3,401.9,408
4,403.4,408
5,404.8,409
6,406.2,409
7,408.1,417
8,409.4,417
9,408.9,417
10,410.9,417
11,412.8,417
12,414.7,421
13,416.1,422
14,417.6,422
15,417,422
16,416.7,422
17,418.7,422
18,418.5,422
19,418.3,422
20,419.8,422
21,419.7,422
22,420.7,422
23,420.1,422
24,421.5,422
25,421.1,422
26,421.2,422
27,419.8,422
28,421.1,422
29,421.2,422
30,421.1,422
31,421.5,422
32,421.8,422
33,419.4,422
34,421.3,422
35,420.9,422
36,421,422
37,419.5,422
38,417.9,422
39,421.4,422
40,421.1,422
41,419.4,422
42,420.9,422
43,420.1,422
44,421.7,422
45,421.3,422
46,421.7,422
47,421.1,422
48,421.5,422
49,422,422
50,421.4,422
51,420,422
52,420.3,422
53,420.6,422
54,420.2,422
55,421.4,422
56,421,422
57,421.2,422
58,421.2,422
59,420.4,422
60,420.1,422
61,419.6,422
62,420.5,422
63,421,422
64,421.1,422
65,420.8,422
66,421.6,422
67,421.8,422
68,419.7,422
69,420.1,422
70,420.7,422
71,421.2,422
72,420.7,422
73,422,422
74,419.8,422
75,421.8,422
76,420.4,422
77,420.1,422
78,420.8,422
79,422,422
80,416.4,422
81,421,422
82,418.9,422
83,419.6,422
84,420.4,422
85,421.2,422
86,421.3,422
87,420.2,422
88,420.8,422
89,421.6,422
90,420.4,422
91,421.1,422
92,420.5,422
93,419.7,422
94,419.6,422
95,419.6,422
96,419.8,423
97,420,423
98,419.9,423
99,420.8,423
100,420,423
101,421.3,423
102,421.4,423
103,421.7,423
104,421.1,423
105,419.6,423
106,421.3,426
107,420.4,426
108,421.6,426
109,423.2,426
110,422.5,426
111,422.9,426
112,424.1,426
113,422.6,426
114,424.4,426
115,423.6,426
116,425,426
117,424.1,427
118,424.8,427
119,425.4,427
120,424.6,427
121,424.4,427
122,422.4,427
123,423.7,427
124,425.4,427
125,425.3,427
126,426.5,427
127,425.8,427
128,426.6,427
129,425.6,427
130,426.8,427
131,425.6,427
132,426,427
133,427,427
134,424.8,427
135,427,427
136,426.9,427
137,425.9,427
138,425.7,427
139,425.3,427
140,423.9,427
141,424,428
142,424.5,428
143,426,428
144,425,428
145,425.1,428
146,424.4,428
147,425.3,428
148,425.6,428
149,427,428
150,424.6,428
151,425.9,428
152,427.6,428
153,426,428
154,425.9,428
155,424.2,428
156,424.9,428
157,426,428
158,426,428
159,425.3,428
160,427.2,428
161,427.4,428
162,425.8,428
163,425.7,428
164,425.8,428
165,426.2,428
166,425.9,428
167,425.4,428
168,427.9,428
169,427.9,428
170,424,428
171,425.9,428
172,427.1,428
173,426.3,428
174,426.5,428
175,426.6,428
176,427.9,428
177,426.5,428
178,427.9,428
179,426.7,428
180,426.9,428
181,425.5,428
182,427.1,428
183,427.6,428
184,426.1,428
185,426.3,428
186,427,428
187,427.3,428
188,428,428
189,428,428
190,422.1,428
191,426.2,428
192,427.7,428
193,427.5,428
194,427.2,428
195,427.3,428
196,426.1,428
197,426.1,428
198,424,428
199,423.9,428
200,426.2,428
201,426.8,428
202,426.8,428
203,428,428
204,426.7,428
205,427.3,428
206,426.5,428
207,426.7,428
208,426,428
209,426.1,428
210,424.4,428
211,425.7,428
212,425.5,428
213,426.4,428
214,425.5,428
215,426,428
216,424.8,428
217,425.4,428
218,427.2,428
219,426,428
220,427.2,428
221,427.2,428
222,426.3,428
223,427.8,428
224,427.2,428
225,426.2,428
226,424,428
227,423.9,428
228,426.3,428
229,426,428
230,426.2,428
231,425.1,428
232,424.3,428
233,424.9,428
234,425.9,428
235,426.8,428
236,426,428
237,426.2,428
238,427.3,428
239,427.1,428
240,425.3,428
241,427.3,428
242,426.9,428
243,427.9,428
244,425.2,428
245,427.1,428
246,425.1,428
247,427.7,428
248,426.1,428
249,426.8,428
250,426.1,428
