Gen,GenAvg,BestFit
0,391.8,399
1,392.8,399
2,395.4,400
3,396.1,400
4,396.5,400
5,396.7,400
6,396.5,400
7,397.2,401
8,398.4,401
9,399.4,401
10,400.1,401
11,400.5,401
12,400.8,401
13,401,401
14,400.6,401
15,400.9,401
16,400.8,401
17,401,401
18,401,401
19,400.8,401
20,401.3,404
21,401.6,404
22,402,404
23,402.5,404
24,403.4,407
25,403.6,407
26,404.5,408
27,404.4,408
28,405,408
29,405.6,408
30,406.2,408
31,407.3,411
32,408.3,411
33,408.8,411
34,408.2,412
35,409.8,412
36,410.5,412
37,411.4,413
38,411.4,413
39,412.2,414
40,412.2,414
41,411.8,414
42,412.3,414
43,412.7,414
44,412.8,414
45,412.6,414
46,412.7,414
47,413.3,415
48,413.7,415
49,414.1,415
50,413.6,415
