Run Number 10
Generation,Generation Average,Best Fitness Found
0,392.7,401
1,395.6,406
2,398.2,406
3,399.8,406
4,401.2,406
5,403.3,406
6,404,406
7,405.1,406
8,405.3,406
9,405.7,406
10,405.8,406
11,405.8,406
12,406.3,409
13,406.7,410
14,407.4,410
15,408,410
16,408.8,410
17,409.5,410
18,409.7,410
19,409.9,410
20,410,410
21,410,410
22,410,410
23,410,411
24,408.8,411
25,410.2,411
26,410.1,411
27,410.5,411
28,410.7,411
29,410.9,411
30,411,411
31,411,411
32,411,411
33,411,411
34,411,411
35,410.9,411
36,410.3,411
37,410.8,411
38,411,411
39,411,411
40,411,412
41,411.2,412
42,411.4,412
43,411.5,412
44,411.6,412
45,411.8,412
46,412,412
47,412,412
48,412,412
49,412,412
50,411,412
