Run Number 8
Generation,Generation Average,Best Fitness Found
0,394.9,405
1,397.8,405
2,400.3,405
3,402.8,405
4,403.8,405
5,404.8,407
6,405.2,407
7,405.5,408
8,406.1,408
9,406.5,408
10,407.1,408
11,407.7,408
12,408,409
13,408.2,409
14,408.2,409
15,408.3,409
16,408.4,409
17,408.7,409
18,408.9,409
19,408.6,409
20,408.5,409
21,408.7,409
22,408.8,409
23,409,409
24,408.4,409
25,409,409
26,409,409
27,409,409
28,409,409
29,409,409
30,409,409
31,409,409
32,409,409
33,408.9,410
34,408.9,410
35,409.2,410
36,409.3,410
37,409.5,410
38,409.6,410
39,409.6,410
40,409.8,410
41,409.8,410
42,409.7,410
43,409.2,410
44,409.9,410
45,410,410
46,410,410
47,409.9,410
48,409.6,410
49,409.8,411
50,410.2,411
