Gen,GenAvg,BestFit
0,390.5,398
1,394.1,401
2,396.2,402
3,397.7,402
4,399,402
5,400.2,402
6,401.2,402
7,401.2,402
8,401.9,404
9,402.5,404
10,401.1,404
11,401.8,406
12,403.3,406
13,404.2,407
14,405.1,407
15,405.8,407
16,406.3,407
17,406.3,407
18,406.4,407
19,406.6,407
20,406.8,407
21,406.9,407
22,406.7,407
23,406.7,407
24,406.2,407
25,406.8,407
26,406.6,407
27,407,407
28,406.8,407
29,406.7,407
30,406.9,407
31,406,407
32,406.7,407
33,406.9,407
34,406.7,407
35,406.8,407
36,407,407
37,406.7,407
38,407,407
39,406.9,407
40,406.7,407
41,407,407
42,407,407
43,406.9,407
44,407,407
45,407,407
46,407,407
47,407,407
48,407,407
49,407,407
50,406.8,407
