Gen,GenAvg,BestFit
0,394.7,403
1,395.7,403
2,397.5,403
3,399.5,404
4,400.9,404
5,402.2,404
6,403.4,405
7,403.9,405
8,404.3,405
9,404.7,406
10,404.3,406
11,405.4,409
12,405.5,409
13,405.6,409
14,405.1,409
15,405.3,409
16,406.2,409
17,406.7,409
18,407.5,409
19,407.5,409
20,407.1,410
21,408,410
22,408.6,410
23,409,410
24,409.3,410
25,409.5,410
26,409.8,411
27,410.2,411
28,410.4,411
29,410.1,411
30,410.7,411
31,411,412
32,411.2,412
33,411,412
34,410.9,412
35,411.2,412
36,410.8,412
37,411.8,412
38,411.4,412
39,411.6,412
40,410.6,412
41,411.6,413
42,412.2,413
43,411.7,413
44,412.5,413
45,412.7,413
46,412.9,413
47,412.4,413
48,412.3,413
49,412.3,413
50,412.1,413
