Run Number 22
Generation,Generation Average,Best Fitness Found
0,390.3,406
1,395.8,406
2,399,406
3,400.8,406
4,401.2,406
5,402.3,406
6,403.8,410
7,405.4,410
8,406,410
9,407.4,410
10,408.4,410
11,409.4,410
12,410,410
13,410.1,411
14,410.2,411
15,409.9,411
16,410.5,411
17,410.7,411
18,410.8,411
19,410.3,411
20,411.1,412
21,411.2,412
22,411.3,412
23,411.5,412
24,411.5,412
25,411.3,412
26,411.8,412
27,412,414
28,411.9,414
29,412,414
30,412.2,414
31,411.8,414
32,412.5,414
33,412.9,414
34,413.1,414
35,413.2,415
36,413.1,415
37,413,415
38,412.8,415
39,413.2,415
40,413.8,415
41,413.2,415
42,414.3,415
43,414.5,415
44,414.7,415
45,415,416
46,415.4,417
47,415.6,417
48,415.6,418
49,416.2,418
50,416.3,418
