<<<<<<< HEAD
Gen,GenAvg,BestFit
0,166.7,189
1,177.6,205
2,183.2,207
3,190.7,207
4,197.9,207
5,201.6,207
6,205.1,207
7,206.1,208
8,206.7,208
9,207.6,210
10,208,210
11,208.6,210
12,209.2,210
13,209.7,211
14,210.2,211
15,210.7,214
16,210.9,214
17,211.4,218
18,212.3,218
19,213.9,222
20,215.8,223
21,217.9,223
22,219.6,223
23,220.8,223
24,218,223
25,221.8,223
26,218.9,223
27,222.1,223
28,222.8,223
29,221.9,223
30,222.5,223
31,222.9,223
32,223,223
33,221,223
34,223,223
35,221.5,223
36,219.7,223
37,222.1,223
38,219.4,223
39,223.2,226
40,223.2,226
41,224.2,226
42,220.9,226
43,218.7,226
44,225.2,227
45,226,227
46,226.4,227
47,227.3,234
48,224.7,234
49,225.5,234
50,228.5,234
51,228.9,234
52,229.1,234
53,229.2,234
54,229.9,234
55,231.5,234
56,232.8,234
57,233.5,235
58,230.5,235
59,233.9,235
60,234.6,236
61,234.3,236
62,235.2,236
63,234.9,236
64,235.6,236
65,235.8,236
66,236,236
67,233.2,236
68,236,236
69,232.1,236
70,233.3,236
71,235,236
72,235.3,236
73,235.6,236
74,234.7,236
75,235.2,236
76,235.6,236
77,235.7,236
78,235.9,236
79,235.9,236
80,235.8,236
81,235.6,236
82,236,236
83,230.2,236
84,232.3,236
85,233.7,236
86,236,236
87,236,236
88,234.8,236
89,235.1,236
90,235,236
91,235.2,236
92,233.7,236
93,236,236
94,234.7,236
95,231.8,236
96,235.6,236
97,236,236
98,235.6,236
99,236.2,239
100,236.5,239
=======
Gen,GenAvg,BestFit
0,166.7,189
1,177.6,205
2,183.2,207
3,190.7,207
4,197.9,207
5,201.6,207
6,205.1,207
7,206.1,208
8,206.7,208
9,207.6,210
10,208,210
11,208.6,210
12,209.2,210
13,209.7,211
14,210.2,211
15,210.7,214
16,210.9,214
17,211.4,218
18,212.3,218
19,213.9,222
20,215.8,223
21,217.9,223
22,219.6,223
23,220.8,223
24,218,223
25,221.8,223
26,218.9,223
27,222.1,223
28,222.8,223
29,221.9,223
30,222.5,223
31,222.9,223
32,223,223
33,221,223
34,223,223
35,221.5,223
36,219.7,223
37,222.1,223
38,219.4,223
39,223.2,226
40,223.2,226
41,224.2,226
42,220.9,226
43,218.7,226
44,225.2,227
45,226,227
46,226.4,227
47,227.3,234
48,224.7,234
49,225.5,234
50,228.5,234
51,228.9,234
52,229.1,234
53,229.2,234
54,229.9,234
55,231.5,234
56,232.8,234
57,233.5,235
58,230.5,235
59,233.9,235
60,234.6,236
61,234.3,236
62,235.2,236
63,234.9,236
64,235.6,236
65,235.8,236
66,236,236
67,233.2,236
68,236,236
69,232.1,236
70,233.3,236
71,235,236
72,235.3,236
73,235.6,236
74,234.7,236
75,235.2,236
76,235.6,236
77,235.7,236
78,235.9,236
79,235.9,236
80,235.8,236
81,235.6,236
82,236,236
83,230.2,236
84,232.3,236
85,233.7,236
86,236,236
87,236,236
88,234.8,236
89,235.1,236
90,235,236
91,235.2,236
92,233.7,236
93,236,236
94,234.7,236
95,231.8,236
96,235.6,236
97,236,236
98,235.6,236
99,236.2,239
100,236.5,239
>>>>>>> c7cec7169edea7a901c9242ef34f1b79be23791c
