Gen,GenAvg,BestFit
0,391.5,400
1,394.2,400
2,395.4,400
3,397.3,401
4,399,401
5,400.2,401
6,400.6,401
7,400.9,402
8,401.2,402
9,401.4,402
10,401.6,402
11,401.7,402
12,401.8,402
13,402,402
14,402,402
15,401.4,402
16,401.9,402
17,401.8,402
18,401.1,402
19,400.8,402
20,402.1,403
21,402.1,403
22,402.4,403
23,402.6,403
24,402.9,404
25,403.1,404
26,403.1,404
27,403.1,404
28,403.3,404
29,403.3,404
30,403.4,404
31,403.6,405
32,404,405
33,405,411
34,405.6,411
35,406.3,411
36,407.7,411
37,409,411
38,409.6,411
39,410.8,411
40,411,411
41,410.9,411
42,411,411
43,411.1,412
44,410.2,412
45,411.1,412
46,410.9,412
47,410.3,412
48,410,413
49,411.7,413
50,412,413
51,411.8,413
52,412.4,413
53,412.6,413
54,412,413
55,412.6,413
56,412.3,413
57,412.9,413
58,412.4,413
59,412.4,413
60,412.4,413
61,412.4,413
62,412.4,413
63,413,413
64,412.4,413
65,413,413
66,413,413
67,413,413
68,411.9,413
69,411.7,413
70,412.9,413
71,412.2,413
72,412,413
73,413,414
74,413.1,414
75,413.2,414
76,413.4,414
77,413.5,414
78,413.5,414
79,412.9,414
80,413.5,414
81,413,414
82,413.9,414
83,413.8,414
84,413.9,414
85,414,414
86,413.7,414
87,414,414
88,414,414
89,414,414
90,413.9,414
91,414,414
92,414,414
93,413.9,414
94,413.7,414
95,414,414
96,413.8,414
97,413.8,414
98,412.2,414
99,413.4,414
100,414,414
