Run Number 26
Generation,Generation Average,Best Fitness Found
0,391.8,402
1,396.5,402
2,399.4,402
3,400.4,402
4,401.2,402
5,401.7,403
6,402,403
7,400.8,403
8,402.6,405
9,403.2,407
10,404,407
11,405.2,409
12,405.8,409
13,405.7,409
14,406.5,409
15,406.6,409
16,406.8,409
17,407.2,409
18,407.8,409
19,408,409
20,408.4,409
21,408.5,409
22,408.8,409
23,408.8,409
24,408.4,409
25,408.4,409
26,409,409
27,408.9,409
28,408.7,409
29,408.9,409
30,408.9,409
31,408.7,409
32,408.8,409
33,408.9,409
34,408.6,409
35,408.9,409
36,409,409
37,409,409
38,408.9,409
39,408.4,409
40,408.8,409
41,408.6,409
42,408.9,409
43,408.8,409
44,409,409
45,409,409
46,409,409
47,409,409
48,409,409
49,409,409
50,408.7,409
51,408.7,409
52,408.7,409
53,409,409
54,408.4,409
55,409,409
56,408.8,409
57,408.4,409
58,408.6,409
59,408.9,409
60,408.9,409
61,409,409
62,408,409
63,408.7,409
64,408.3,409
65,409,409
66,409,409
67,408.9,409
68,409,409
69,408.9,409
70,409,409
71,409,409
72,409,409
73,409,410
74,409.4,411
75,409.6,411
76,410.2,413
77,410.7,413
78,410.9,413
79,411.3,414
80,411.8,414
81,411,414
82,412.2,415
83,412.8,415
84,413.5,415
85,414.1,415
86,414.3,415
87,414.6,416
88,415,417
89,415.3,417
90,415.7,417
91,416,417
92,416.2,417
93,416.6,417
94,416.7,417
95,416.9,417
96,415.8,417
97,416.6,417
98,417,417
99,417,417
100,416.8,417
