Gen,GenAvg,BestFit
0,393.1,402
1,396.3,402
2,399.7,410
3,401.2,410
4,402.2,410
5,402.1,410
6,402.7,410
7,404.6,412
8,405.2,412
9,406.9,412
10,408.3,412
11,409.8,412
12,409.7,412
13,410.3,412
14,411.1,412
15,411.7,412
16,411.9,412
17,411.9,412
18,411.8,412
19,411.7,412
20,411.9,412
21,412.1,413
22,411.8,413
23,412.4,414
24,412.9,415
25,413.2,415
26,413.2,415
27,413.1,415
28,414.2,415
29,414.6,415
30,414.8,415
31,414.2,415
32,415,415
33,415,415
34,415,415
35,415,415
36,415,415
37,415,415
38,414.8,415
39,415,415
40,414.4,415
41,415,415
42,414.8,415
43,413.1,415
44,414.9,415
45,414.9,415
46,415,415
47,415,415
48,414.8,415
49,414.4,415
50,414.3,415
51,413.7,415
52,414.9,415
53,414.6,415
54,414.9,415
55,415,415
56,415,415
57,413.6,415
58,414.4,415
59,414.9,415
60,414.5,415
61,415.1,416
62,414.6,416
63,415,416
64,415.1,416
65,413.9,416
66,415.1,416
67,414.5,416
68,414.4,416
69,414.8,416
70,415.4,416
71,415.6,416
72,415.7,416
73,415,416
74,415.9,416
75,416.1,417
76,415.7,417
77,415.8,417
78,416.3,417
79,416.1,417
80,416.5,417
81,416.2,417
82,415.4,417
83,415.9,417
84,416.3,417
85,415.9,417
86,416.9,417
87,416.6,417
88,417,417
89,416.5,417
90,416.9,417
91,417,417
92,416.2,417
93,416.8,417
94,417,417
95,416.9,417
96,416.6,417
97,417,417
98,417,417
99,417,417
100,416.8,417
