Run Number 6
Generation,Generation Average,Best Fitness Found
0,393.25,408
1,396.1,408
2,398.15,408
3,400.05,408
4,401.55,408
5,402.8,408
6,404.2,408
7,405.25,408
8,406,408
9,406.85,409
10,407.3,409
11,407.6,409
12,407.75,409
13,408,409
14,408.35,410
15,408.55,410
16,408.75,410
17,408.9,410
18,408.95,410
19,409.2,410
20,409.4,410
21,409.6,410
22,409.7,410
23,409.8,410
24,409.8,410
25,409.95,410
26,410,410
27,410.1,412
28,410.2,412
29,410.4,412
30,410.6,412
31,410.45,412
32,410.65,412
33,410.65,412
34,410.9,412
35,410.95,412
36,411,412
37,411.1,412
38,411.3,412
39,411.5,412
40,411.7,412
41,411.8,412
42,411.95,414
43,412.15,414
44,412.1,414
45,412.3,414
46,412.35,414
47,412.35,414
48,412.8,414
49,413,414
50,412.9,414
51,413.25,414
52,413,414
53,413.4,414
54,413.5,414
55,413.7,414
56,413.9,414
57,413.45,414
58,413.75,414
59,413.95,414
60,413.55,414
61,413.95,414
62,413.8,414
63,413.95,414
64,414,414
65,413.55,414
66,413.55,414
67,413.9,414
68,413.95,414
69,413.8,414
70,413.8,414
71,413.85,414
72,413.65,414
73,413.55,414
74,413.8,414
75,413.65,414
76,412.9,414
77,413.45,414
78,413.85,414
79,413.55,414
80,414,414
81,413.35,414
82,413.95,414
83,413.9,414
84,413.55,414
85,413.75,414
86,413.75,414
87,413.95,414
88,413.4,414
89,413.85,414
90,413.95,414
91,414,414
92,413.45,414
93,413.65,414
94,413.9,414
95,413.5,414
96,414,414
97,413.5,414
98,413.8,414
99,413.5,414
100,413.65,414
