Gen,GenAvg,BestFit
0,160.4,211
1,171,211
2,183.1,211
3,188.8,211
4,193.1,211
5,196.8,211
6,199.3,211
7,204.6,211
8,207.1,211
9,209.1,211
10,208.8,214
11,209.9,214
12,210.1,214
13,212,214
14,212.5,214
15,210.8,214
16,212,219
17,213.1,219
18,210.4,219
19,213.1,219
20,214.2,219
21,215.5,219
22,217.2,220
23,218.4,220
24,217.8,220
25,218.9,220
26,219.1,220
27,219.6,222
28,219.8,222
29,220.3,225
30,222.2,227
31,223.5,232
32,225.5,233
33,228,233
34,230.2,233
35,230.9,233
36,232.2,233
37,232.1,233
38,232.4,233
39,231.1,233
40,231.5,233
41,233.2,235
42,233.4,235
43,230.6,235
44,233.8,235
45,233.8,235
46,233.1,235
47,234.2,235
48,235.1,238
49,235.2,238
50,232.6,238
51,234.5,238
52,235.5,238
53,236,238
54,236,238
55,236.7,238
56,236.9,238
57,237.6,238
58,237.9,238
59,234.4,238
60,237,238
61,237.3,238
62,237.4,238
63,237.8,238
64,236.8,238
65,237.4,238
66,237.1,238
67,237.4,238
68,233.7,238
69,235.3,238
70,237.8,238
71,237.5,238
72,236.3,238
73,238,238
74,237.9,238
75,229.2,238
76,237.8,238
77,237.4,238
78,237.2,238
79,234.5,238
80,237.6,238
81,238,238
82,237.5,238
83,237.9,238
84,238,238
85,234.7,238
86,238,238
87,234.6,238
88,237.6,238
89,238.4,242
90,238.5,242
91,239.5,242
92,238.3,242
93,240.3,242
94,240.7,242
95,241.5,242
96,241.9,242
97,241.4,242
98,241.8,242
99,242,242
100,242,242
101,241,242
102,241.2,242
103,241.8,242
104,241,242
105,242,242
106,241.4,242
107,241.4,242
108,239.7,242
109,241.7,242
110,237.5,242
111,241.9,242
112,240.6,242
113,238.6,242
114,242,242
115,241.8,242
116,240.9,242
117,241.5,242
118,241.9,242
119,240.6,242
120,241.5,242
121,241.8,242
122,242,242
123,240.2,242
124,242,242
125,241.7,242
126,241.7,242
127,242,242
128,235.2,242
129,241,242
130,241.5,242
131,242,242
132,237.8,242
133,240.4,242
134,240.4,242
135,240.9,242
136,241.7,242
137,241.7,242
138,241.7,242
139,241.6,242
140,241.9,242
141,240.2,242
142,241.5,242
143,241.2,242
144,239.9,242
145,241.6,242
146,242,242
147,241.6,242
148,241.8,242
149,242,242
150,239.4,242
151,238.6,242
152,241.3,242
153,238.4,242
154,242,242
155,240.3,242
156,242,242
157,235.2,242
158,241.1,242
159,237,242
160,239.9,242
161,241.4,242
162,241.9,242
163,237.8,242
164,241.7,242
165,241.7,242
166,241.8,242
167,241.5,242
168,241.4,242
169,238.7,242
170,242,242
171,241.7,242
172,242,242
173,238.2,242
174,239.4,242
175,241.2,242
176,242,242
177,241.7,242
178,238.8,242
179,239.9,242
180,240.1,242
181,239.3,242
182,240.7,242
183,238.5,242
184,240,242
185,241.3,242
186,241.3,242
187,237.6,242
188,241.2,242
189,241.4,242
190,241.7,242
191,237.2,242
192,241.7,242
193,241.7,242
194,241.8,242
195,242,242
196,241.2,242
197,241.5,242
198,241,242
199,240.9,242
200,241.2,242
201,242,242
202,241.6,242
203,242,242
204,241.2,242
205,242,242
206,242,242
207,240.6,242
208,241.4,242
209,238.8,242
210,242,242
211,240.9,242
212,239.2,242
213,237.7,242
214,240.2,242
215,241.7,242
216,241.7,242
217,240.2,242
218,241.8,242
219,241.8,242
220,241.5,242
221,237.6,242
222,237.5,242
223,240.8,242
224,241.8,242
225,241.6,242
226,241,242
227,240,242
228,240.7,242
229,240.9,242
230,242,242
231,242,242
232,240,242
233,240,242
234,241.7,242
235,242,242
236,242,242
237,238.8,242
238,240.1,242
239,242,242
240,241.4,242
241,242,242
242,241.8,242
243,242,242
244,242.3,244
245,242.6,244
246,241.3,244
247,241.6,244
248,257.6,394
249,289.3,401
250,304.6,402
