Gen,GenAvg,BestFit
0,390.9,396
1,391.9,398
2,394.4,398
3,395.8,398
4,396.6,398
5,397,398
6,397.5,398
7,397.7,398
8,397.7,401
9,398.3,401
10,398,401
11,398.5,402
12,399.2,402
13,399.8,402
14,400.6,402
15,401.1,402
16,401.5,402
17,401.6,402
18,401.5,402
19,401.5,402
20,400.7,403
21,401.4,403
22,401.7,403
23,401.9,403
24,401.5,403
25,401.5,403
26,401.8,403
27,401.9,403
28,401.9,403
29,401.9,403
30,401.9,403
31,402,403
32,402.4,407
33,403.1,407
34,404,407
35,405,407
36,405.7,407
37,406.3,407
38,406,408
39,406.8,408
40,407.1,408
41,407.3,408
42,407.4,409
43,407.8,409
44,408.2,409
45,408.5,409
46,408.7,409
47,408.9,410
48,409.1,410
49,409.3,410
50,409.3,410
51,409.5,411
52,409.8,411
53,410.4,413
54,411,413
55,411.4,413
56,411.8,413
57,412.2,413
58,412.6,413
59,412.7,413
60,413,413
61,412.8,413
62,413,413
63,412.8,413
64,413,413
65,413,413
66,413,413
67,412.9,414
68,411.5,414
69,413.2,414
70,413.3,414
71,412.8,414
72,413.5,414
73,413.7,414
74,413.8,414
75,413.9,414
76,413,414
77,414,414
78,412.9,414
79,414,414
80,412.7,414
81,413.7,414
82,414,414
83,413.8,414
84,414,414
85,413.9,414
86,413,414
87,413,414
88,412.2,414
89,414,414
90,413.2,416
91,414.4,416
92,414.7,416
93,414.2,416
94,414.5,418
95,414.3,418
96,415.3,418
97,413.9,418
98,416.1,418
99,416.6,418
100,417.1,418
101,417.3,418
102,416.6,418
103,417.6,418
104,417.9,418
105,418,418
106,417.2,418
107,418,418
108,417.9,418
109,417.1,418
110,418,418
111,417.8,418
112,417,418
113,418,418
114,417.8,418
115,417,418
116,416.2,418
117,418,418
118,416.2,418
119,416.8,418
120,417.9,418
121,417.8,418
122,417.1,418
123,418,418
124,417.9,418
125,417.9,418
126,418,418
127,416.8,418
128,417.3,418
129,417.9,418
130,417.9,418
131,417.9,418
132,417.9,418
133,418,418
134,418,418
135,417.1,418
136,418,418
137,418,418
138,417.8,418
139,416.7,418
140,417,418
141,418,418
142,417.2,418
143,417.3,418
144,416.9,418
145,416.3,418
146,417.2,418
147,417.4,418
148,417.8,418
149,417.9,418
150,414.7,418
151,417.5,418
152,417.7,418
153,418,418
154,418,418
155,418,418
156,418.1,419
157,418,419
158,418.2,419
159,418.1,419
160,417.6,419
161,417.8,419
162,417.8,419
163,418.6,419
164,418.5,419
165,418.9,419
166,419,419
167,419,419
168,418.8,419
169,418.2,419
170,418.5,419
171,416.9,419
172,418.6,419
173,417.2,419
174,417.3,419
175,418.2,419
176,418.2,419
177,418.5,419
178,418.2,419
179,418.4,419
180,418.7,419
181,418.5,419
182,418.6,419
183,419,419
184,418.9,419
185,419,419
186,418,419
187,418.2,419
188,418.8,419
189,418.7,419
190,418.4,419
191,419.1,420
192,419.2,420
193,419.4,420
194,419.6,420
195,419.7,420
196,419.9,420
197,419.1,420
198,419.7,420
199,420,420
200,419.4,420
201,420,420
202,419.1,420
203,419.8,421
204,420,421
205,420.2,421
206,420.4,421
207,420.6,421
208,420.8,421
209,421,421
210,421,421
211,421,421
212,421,421
213,420.4,421
214,420.6,421
215,420.6,421
216,420.9,421
217,420,421
218,420,421
219,419.9,421
220,420.1,421
221,420.4,421
222,420.8,421
223,420.6,421
224,420.1,421
225,421,421
226,420.9,421
227,421,421
228,420.2,421
229,421,421
230,420.8,421
231,421,421
232,420.2,421
233,419.4,421
234,420.4,421
235,421.1,422
236,421.2,422
237,420.8,422
238,421.5,422
239,420.5,422
240,421.7,422
241,421.9,422
242,421.5,422
243,421.8,422
244,422,422
245,421.9,422
246,421.6,422
247,422,422
248,422,422
249,422,422
250,421.2,422
