Gen,GenAvg,BestFit
0,392.3,404
1,394.7,405
2,397.8,405
3,398.7,405
4,400,405
5,401.5,405
6,402.4,406
7,403.1,406
8,404.1,406
9,404.8,406
10,404.7,406
11,404.5,406
12,405.2,406
13,405.3,406
14,405.8,407
15,406,407
16,406.4,407
17,406.6,407
18,406.7,407
19,406.9,407
20,407,407
21,407,407
22,407,407
23,407,407
24,407,407
25,407,407
26,407.1,408
27,407.2,408
28,407.4,408
29,407.6,408
30,407.3,408
31,407.4,408
32,408,408
33,408,408
34,408.1,409
35,408.2,409
36,408,409
37,408.6,410
38,408.1,410
39,409.2,410
40,409.5,410
41,409.2,410
42,408.6,410
43,409.8,410
44,410,410
45,409.9,410
46,409.6,410
47,409.4,410
48,410,410
49,410,410
50,410,410
51,410.1,411
52,410.2,411
53,410.4,411
54,410.5,411
55,410.6,411
56,410.8,411
57,411.2,413
58,411.4,413
59,411.8,413
60,411.5,413
61,411.7,413
62,412.7,414
63,413.2,414
64,413.4,414
65,413.6,414
66,413.9,415
67,414.2,415
68,413.7,415
69,414.2,415
70,413.8,415
71,414.5,415
72,413.9,415
73,414.8,415
74,414.9,415
75,413.6,415
76,414.9,415
77,415,415
78,414.9,415
79,414.9,415
80,414.9,415
81,414.5,415
82,414.8,415
83,415,415
84,415,416
85,413.3,416
86,415.1,416
87,415.2,416
88,415.2,416
89,413,416
90,415.5,416
91,415.7,416
92,415.1,416
93,415.1,416
94,415.2,416
95,415.9,416
96,415.9,416
97,415.8,416
98,415.8,416
99,415.8,416
100,415.9,416
101,416,416
102,415.9,416
103,415.7,416
104,415.9,416
105,416,416
106,415.8,416
107,416,416
108,415.9,416
109,415.8,416
110,415.1,416
111,415.9,416
112,415.7,416
113,415,416
114,415.8,416
115,416,416
116,415.1,416
117,416,416
118,415.8,416
119,415.2,416
120,415.6,416
121,415.1,416
122,415.9,416
123,416,416
124,415.8,416
125,416,416
126,415.8,416
127,416,416
128,416,416
129,415.8,416
130,416,416
131,415.8,416
132,415.5,416
133,415.3,416
134,416,416
135,416,416
136,415.9,416
137,415.2,416
138,415.2,416
139,416,416
140,414.5,416
141,414.4,416
142,415.2,416
143,414.2,416
144,415.9,416
145,415.9,416
146,416,416
147,415.8,416
148,416,416
149,415.2,416
150,415.2,416
151,414.4,416
152,415.9,416
153,416,416
154,416,416
155,415.2,416
156,415.9,416
157,415.9,416
158,415.9,416
159,415.8,416
160,415.8,416
161,415.8,416
162,415.2,416
163,415.2,416
164,416,416
165,416,416
166,415,416
167,415.8,416
168,416,416
169,416,416
170,416,416
171,415.6,416
172,415.8,416
173,416,416
174,415.8,416
175,416,416
176,416,416
177,416,416
178,414.5,416
179,414.4,416
180,416,416
181,416,416
182,416,416
183,415.1,416
184,415.9,416
185,415.9,416
186,416,416
187,414.2,416
188,415.2,416
189,415.8,416
190,416,416
191,416,416
192,416,416
193,416,416
194,416,416
195,416,416
196,414,416
197,415.8,416
198,414.6,416
199,416,416
200,416,416
201,416,416
202,415.8,416
203,416,416
204,415.2,416
205,415.9,416
206,413.9,416
207,415.2,416
208,415.9,416
209,415.1,416
210,415.7,416
211,415.9,416
212,415.8,416
213,416,416
214,416,416
215,415.9,416
216,416,416
217,416,416
218,414.5,416
219,415.9,416
220,414.6,416
221,415.4,416
222,415.8,416
223,415.1,416
224,415.9,416
225,416,416
226,416,416
227,416,416
228,415.8,416
229,416,416
230,415.9,416
231,415.8,416
232,416,416
233,413.5,416
234,415.1,416
235,415.9,416
236,415.9,416
237,416,416
238,415.8,416
239,415,416
240,415.7,416
241,415.9,416
242,416,416
243,416,416
244,416,416
245,415.8,416
246,416,416
247,415.2,416
248,415.9,416
249,416,416
250,416,416
