Gen,GenAvg,BestFit
0,394.3,402
1,397.6,402
2,400,404
3,401.2,404
4,402.3,405
5,403.3,405
6,403.8,405
7,404.2,405
8,403.8,405
9,404.4,405
10,404.5,405
11,404.7,405
12,404.9,405
13,404.8,405
14,405,405
15,405,405
16,405,405
17,404.9,405
18,405,406
19,405.2,406
20,405.6,408
21,405.9,408
22,406.5,408
23,407.1,408
24,406.8,408
25,407.1,410
26,407.6,410
27,408,410
28,408.3,410
29,408.5,410
30,408.8,411
31,409.1,411
32,409.3,411
33,409.5,411
34,409.8,412
35,410,412
36,410.5,412
37,411.1,412
38,411.1,412
39,411.6,412
40,410.9,412
41,412,413
42,412.1,413
43,412.5,414
44,412.1,414
45,412.5,414
46,411.5,414
47,412.1,414
48,411.3,414
49,412.6,414
50,412.1,414
51,413.2,414
52,412.4,414
53,412.9,414
54,413.6,414
55,412.6,414
56,412.3,414
57,413.7,414
58,413.3,414
59,413.6,414
60,413.3,414
61,414,414
62,413.9,414
63,414,414
64,414,414
65,413.9,414
66,412.7,414
67,414,414
68,413.6,414
69,414.1,415
70,414.2,415
71,414.4,415
72,414.6,415
73,413.8,415
74,414.1,415
75,414.6,415
76,414.1,415
77,415,415
78,414.6,415
79,414.9,415
80,415,415
81,415,415
82,413,415
83,414.4,415
84,414.6,415
85,414.4,415
86,414.8,415
87,415.1,416
88,415.3,416
89,415.4,416
90,415.1,416
91,415.1,416
92,414.7,416
93,415.9,416
94,415.4,416
95,416,416
96,416,416
97,415,416
98,415.9,416
99,415.9,416
100,415.8,416
101,416,416
102,415.4,416
103,416,416
104,414.5,416
105,415.5,416
106,414.9,416
107,415.5,416
108,415.7,416
109,414.7,416
110,415.2,416
111,415.9,416
112,416,416
113,415.1,416
114,416,416
115,415.9,416
116,415,416
117,415.9,416
118,416,416
119,416.1,417
120,416.2,417
121,416.4,417
122,416.1,417
123,416.1,417
124,416.7,417
125,415.6,417
126,415.8,417
127,415.9,417
128,416.4,417
129,416.5,417
130,416.9,417
131,416,417
132,416.3,417
133,416.4,417
134,417,417
135,417,417
136,415.2,417
137,416.5,417
138,415.9,417
139,416.9,417
140,417,417
141,416.4,417
142,416,417
143,417,417
144,417,417
145,416.7,417
146,416.4,417
147,416.5,417
148,415.6,417
149,415.9,417
150,417,417
151,415.3,417
152,416,417
153,417,417
154,417,417
155,416.5,419
156,417.4,419
157,416.8,419
158,417.7,419
159,417.8,419
160,416.4,419
161,417.9,419
162,418,419
163,418.4,419
164,418.7,420
165,419,420
166,418.5,420
167,418.9,420
168,419.1,420
169,419.4,420
170,419.6,420
171,418.9,420
172,418.3,420
173,419.4,420
174,419.8,421
175,419.1,421
176,420.2,421
177,419.1,421
178,420.4,421
179,420.2,421
180,420.2,421
181,420.1,421
182,420.5,421
183,420,421
184,420,421
185,420.9,422
186,420.7,422
187,421.2,422
188,420.1,422
189,421,422
190,421.6,422
191,420.9,422
192,420.1,422
193,421.3,422
194,421.1,422
195,420.1,422
196,420.4,422
197,421.4,422
198,421.4,422
199,421.9,422
200,421.5,422
201,421,422
202,421.5,422
203,419.5,422
204,420.7,422
205,421,423
206,422.2,423
207,421.7,423
208,422.2,423
209,422.6,424
210,421.1,424
211,422.6,424
212,422.7,424
213,422.8,424
214,422.9,424
215,423,424
216,423.1,424
217,423,424
218,423.6,424
219,423.2,424
220,423.3,424
221,422.5,424
222,423,424
223,423.7,424
224,422.9,424
225,422.7,424
226,422.9,424
227,423.5,424
228,423.4,424
229,422.7,424
230,422.9,424
231,423.5,424
232,424,424
233,424,424
234,423.9,424
235,423.5,424
236,424,424
237,423.6,424
238,423,424
239,423,424
240,423.4,424
241,423.8,424
242,424,424
243,423,424
244,423.7,424
245,422.1,424
246,422,424
247,423.3,424
248,423.3,424
249,423.8,424
250,424,424
