Run Number 23
Generation,Generation Average,Best Fitness Found
0,389.2,402
1,393.9,405
2,396.2,405
3,399.6,405
4,401.8,405
5,403.4,405
6,404.9,409
7,406,411
8,407.1,412
9,408,412
10,409.2,412
11,409.6,412
12,410.4,412
13,411,412
14,410.9,412
15,411.7,412
16,411.7,412
17,412,413
18,412.2,413
19,412.4,413
20,412.2,413
21,411.7,413
22,412.5,413
23,412.6,413
24,413,413
25,413,413
26,413,413
27,412.3,413
28,412.5,413
29,412.7,413
30,412.4,413
31,413,413
32,413,413
33,412.7,413
34,412.7,413
35,412.9,413
36,413,413
37,413,413
38,413.2,414
39,413.4,414
40,413.6,414
41,413,414
42,414,415
43,413.8,415
44,414,415
45,414.3,415
46,414.6,416
47,414.8,416
48,415.2,416
49,414.7,416
50,415.7,416
51,415.8,416
52,415.1,416
53,414.5,416
54,415.7,416
55,416,416
56,416,416
57,415.8,416
58,416,416
59,415.3,416
60,416,416
61,415.9,416
62,416,416
63,416,416
64,415.2,416
65,416,416
66,415.3,416
67,415.4,416
68,415.3,417
69,415.3,417
70,416.3,417
71,416.4,417
72,416.4,417
73,416.7,417
74,416.9,418
75,417.2,418
76,417.4,418
77,417.6,418
78,416.9,418
79,417.2,418
80,417,418
81,417.8,418
82,417.9,418
83,417.8,418
84,417.4,418
85,418,418
86,416.2,418
87,417.1,418
88,417.3,418
89,418,418
90,416.2,418
91,417.1,418
92,416.5,418
93,418,418
94,418,418
95,418,418
96,415.8,418
97,417.3,418
98,417.6,418
99,418,419
100,418.2,419
101,418.3,419
102,418.4,419
103,418.6,419
104,418.8,419
105,417.6,419
106,418.7,419
107,418.2,419
108,419,419
109,418.3,419
110,418.2,419
111,417.6,419
112,418.1,419
113,418.8,419
114,419,419
115,418.9,419
116,418.3,419
117,418.9,419
118,418.7,419
119,419,419
120,419,419
121,419,419
122,419,419
123,418.8,419
124,418.2,419
125,419,419
126,418.9,419
127,419,419
128,419,419
129,419,419
130,418.4,419
131,419,419
132,418.2,419
133,419,419
134,418.9,419
135,417.3,419
136,418.1,419
137,418.3,419
138,419,419
139,417.4,419
140,418.5,419
141,418.8,419
142,419,419
143,419,419
144,418.1,419
145,418.2,419
146,419,419
147,416.7,419
148,418.8,419
149,418.9,419
150,418.9,419
151,418.1,419
152,418.9,419
153,418.1,419
154,418.8,419
155,418.2,419
156,418.3,419
157,418.8,419
158,418.8,419
159,419,419
160,418.5,420
161,419.2,420
162,419.4,420
163,419,420
164,419.1,420
165,419.7,420
166,419,420
167,419.2,420
168,419.5,420
169,419.5,420
170,420,420
171,419.6,420
172,419.2,420
173,419.2,420
174,419.8,420
175,419.8,420
176,420,420
177,419.7,420
178,419.8,420
179,418.9,420
180,419.5,420
181,419.3,421
182,419.6,421
183,419.9,421
184,420.5,421
185,419.8,421
186,418.4,421
187,420.7,421
188,420,421
189,419.9,421
190,420.5,421
191,420.8,421
192,420.9,421
193,421,421
194,420,421
195,420,421
196,421,421
197,419.3,421
198,418.9,421
199,418.6,421
200,419.8,421
201,420.7,421
202,421,421
203,420,421
204,419.2,421
205,420.2,421
206,421,421
207,420.4,421
208,420.9,421
209,421,421
210,420.6,421
211,420.5,421
212,420,421
213,420.5,421
214,420.5,421
215,420.5,421
216,419.5,421
217,419.9,421
218,420.3,421
219,420.5,421
220,419.5,421
221,420,421
222,421,421
223,421,421
224,420.5,421
225,421.1,422
226,420.6,422
227,421.4,422
228,420.2,422
229,421.3,422
230,420.8,422
231,421.5,423
232,421.6,423
233,422.3,423
234,421.9,423
235,422,423
236,422.1,423
237,422.6,423
238,422.8,423
239,423,423
240,422.5,423
241,423,423
242,423,423
243,422.6,423
244,422.5,423
245,422.5,423
246,422.9,423
247,422.2,423
248,423,423
249,422.6,423
250,423,423
