Run Number 0
Generation,Generation Average,Best Fitness Found
0,391.75,404
1,393.85,404
2,394.8,404
3,395.8,404
4,396.1,404
5,397.25,404
6,398.5,405
7,399.35,406
8,400.4,406
9,401.1,406
10,402.1,406
11,403,407
12,403.5,407
13,404.15,407
14,404.55,407
15,405.05,407
16,405.55,409
17,405.7,409
18,405.5,409
19,405.9,409
20,406.2,414
21,406.95,414
22,407.5,414
23,408.15,414
24,408.6,414
25,409.1,414
26,409.8,414
27,410.6,414
28,411.3,414
29,412,415
30,412.25,415
31,412.6,415
32,412.9,415
33,413.35,415
34,413.65,415
35,414,416
36,414.3,416
37,414.45,416
38,414.45,416
39,414.9,416
40,414.7,416
41,415.1,416
42,414.9,416
43,415,416
44,415.35,416
45,415.05,416
46,415.5,416
47,415.6,416
48,415.65,416
49,415.55,416
50,415.65,416
51,415.8,416
52,415.8,416
53,415.95,416
54,415.9,416
55,415.95,416
56,416,417
57,415.6,417
58,415.7,417
59,415.95,419
60,416.4,419
61,416.1,419
62,416.7,419
63,417,419
64,417.25,420
65,417.6,420
66,417.95,420
67,418.35,420
68,418.15,420
69,418.3,420
70,418.8,420
71,418.75,420
72,419.1,420
73,419.05,420
74,419.1,420
75,419.45,421
76,419.5,421
77,419.7,421
78,419.4,421
79,419.8,421
80,419.75,421
81,419.35,421
82,419.95,421
83,420.1,421
84,419,421
85,420.25,421
86,420.4,421
87,420.45,421
88,420.35,421
89,419.7,421
90,420.05,421
91,420.6,422
92,420.7,422
93,420.2,422
94,419.9,422
95,419.4,422
96,419.55,422
97,420.3,422
98,420.7,422
99,421,422
100,420.85,422
