Run Number 12
Generation,Generation Average,Best Fitness Found
0,391.8,402
1,393.7,403
2,395.25,403
3,396.9,404
4,397.45,404
5,398.45,406
6,399.45,406
7,400.65,408
8,401.65,408
9,402.75,408
10,403.65,408
11,404.25,408
12,404.55,408
13,405.3,409
14,405.55,409
15,406.1,409
16,406.65,409
17,407.25,409
18,407.8,410
19,408.05,410
20,408.65,415
21,409,415
22,409.5,415
23,410.15,416
24,410.5,416
25,410.55,416
26,411.2,416
27,411.75,416
28,412.05,417
29,412.2,417
30,412.55,417
31,413.05,417
32,413.05,417
33,413.4,417
34,413.25,417
35,413.65,417
36,413.85,417
37,414.5,417
38,414.7,417
39,414.95,417
40,415.35,417
41,414.85,417
42,415.4,417
43,415.8,417
44,415.85,417
45,415.95,417
46,415.8,417
47,415.85,417
48,416.05,417
49,416.1,417
50,415.95,417
51,416.3,417
52,416.45,417
53,416.5,417
54,416.3,418
55,416.4,418
56,415.95,418
57,416.3,418
58,416.5,418
59,415.75,418
60,416.5,418
61,416.25,418
62,416.6,418
63,416.5,418
64,416.35,418
65,416.6,418
66,416.7,418
67,416.6,418
68,416.35,418
69,416.8,418
70,415.55,418
71,416.65,418
72,416.75,418
73,416.15,418
74,416.75,418
75,416.4,418
76,416.85,418
77,416.4,418
78,416.45,418
79,416,418
80,416.7,418
81,416.15,418
82,416.6,418
83,416.4,418
84,415.6,418
85,416.75,418
86,416.25,418
87,416.65,418
88,416.6,418
89,416.05,418
90,416.45,418
91,416.55,418
92,416.6,418
93,416.4,418
94,416.2,418
95,415.75,418
96,416,418
97,416,418
98,416.25,418
99,416.2,418
100,416.7,418
