Run Number 25
Generation,Generation Average,Best Fitness Found
0,391.7,406
1,394.45,407
2,396.4,407
3,397.9,407
4,398.9,407
5,400.1,407
6,401.45,407
7,402.6,407
8,403.6,407
9,404.2,407
10,404.7,407
11,405.6,409
12,406.25,409
13,406.3,409
14,406.9,409
15,407.2,409
16,407.1,409
17,406.95,409
18,407.5,410
19,407.85,410
20,407.9,410
21,408.15,410
22,408.15,410
23,408.5,410
24,408.7,410
25,408.9,410
26,409,410
27,409.3,410
28,409.3,410
29,409.5,410
30,409.45,410
31,409.4,410
32,409.6,410
33,409.3,410
34,409.5,410
35,409.55,410
36,409.7,410
37,409.65,410
38,409.65,410
39,409.75,410
40,409.8,410
41,410.05,412
42,409.8,412
43,410.2,413
44,410.55,413
45,410.8,413
46,410.65,413
47,411.1,413
48,411.1,413
49,411.35,413
50,411.6,413
51,411.9,413
52,412.15,413
53,412.05,413
54,412.05,413
55,412.45,413
56,412.05,413
57,412.4,413
58,412.6,413
59,412.35,413
60,412.4,413
61,412.65,413
62,412.55,413
63,412.55,413
64,412.55,413
65,412.75,413
66,412.8,413
67,412.4,413
68,413,414
69,412.5,414
70,413.15,414
71,413,414
72,413.3,414
73,413.4,414
74,413.2,414
75,413.5,414
76,413.6,414
77,413.25,414
78,413.65,415
79,413.85,415
80,413.15,415
81,413.95,415
82,413.85,415
83,413.55,415
84,414.15,415
85,414.1,415
86,414.35,415
87,414.45,415
88,414.2,415
89,414.55,415
90,414.6,415
91,414.25,415
92,414.15,415
93,414.45,415
94,414.55,415
95,414.7,415
96,414.9,416
97,414.95,416
98,414.9,416
99,415,416
100,414.9,416
