Run Number 20
Generation,Generation Average,Best Fitness Found
0,390.25,407
1,392.3,407
2,395.4,407
3,397.05,407
4,398.6,407
5,400.15,407
6,401.65,407
7,402.95,407
8,403.35,407
9,404.6,408
10,405.45,408
11,406.45,408
12,406.95,408
13,406.55,408
14,407.55,411
15,407.4,411
16,407.85,411
17,407.4,411
18,408,411
19,408.2,411
20,408.65,411
21,408.55,411
22,409.2,411
23,409.4,411
24,409.7,411
25,410,411
26,410.15,411
27,410.05,411
28,410.25,411
29,410.3,411
30,410.6,411
31,410.95,414
32,411.05,414
33,411.1,414
34,410.85,414
35,411,414
36,411.6,414
37,411.9,414
38,411.9,414
39,411.8,414
40,412.2,414
41,412.35,414
42,412.6,414
43,412.8,414
44,413,414
45,413.1,414
46,412.35,414
47,413.1,414
48,413.15,414
49,413.55,414
50,413.7,414
51,413.4,414
52,413.85,414
53,413.45,414
54,413.1,414
55,413.5,414
56,413,414
57,413.25,414
58,413.55,414
59,412.7,414
60,413.8,414
61,413.35,414
62,413.95,414
63,414,414
64,413.55,414
65,413.75,414
66,413.65,414
67,413.85,414
68,413.95,414
69,413.9,414
70,413.7,414
71,413.55,414
72,413.8,414
73,413.35,414
74,413.8,414
75,413.6,414
76,413,414
77,413.85,414
78,413.3,414
79,413.65,414
80,413.65,414
81,413.55,414
82,413.7,414
83,413.75,414
84,413.95,414
85,413.7,414
86,413.95,414
87,413.8,414
88,413.3,414
89,413.65,414
90,413.1,414
91,414,414
92,413.7,414
93,413.8,414
94,413.7,414
95,413.65,414
96,413.7,414
97,413.15,414
98,413.1,414
99,413.75,414
100,413.35,414
