Run Number 24
Generation,Generation Average,Best Fitness Found
0,387.4,402
1,391.6,402
2,394.8,402
3,396.6,402
4,397,402
5,398.3,402
6,398.6,403
7,399.9,403
8,401,403
9,401.8,403
10,402.3,404
11,401.8,404
12,401.3,404
13,402.7,404
14,403.2,404
15,403.8,407
16,404.1,407
17,405.3,411
18,406.5,411
19,407.8,411
20,408,411
21,409.5,411
22,410.2,411
23,410.2,411
24,410.4,413
25,411.2,413
26,411.1,413
27,411.5,413
28,411.6,413
29,411.8,413
30,411.8,413
31,412.3,413
32,411.6,413
33,412.4,413
34,412.4,413
35,412.6,413
36,411.2,413
37,412.7,413
38,412.2,413
39,412.1,413
40,412.7,413
41,413,413
42,411.3,413
43,413.1,414
44,413.3,415
45,413.3,415
46,412.6,416
47,412.8,416
48,413.6,416
49,414.2,416
50,414.8,416
