Gen,GenAvg,BestFit
0,393.2,409
1,397.8,409
2,401.4,409
3,404.5,409
4,406.5,409
5,407.9,409
6,408.8,410
7,409,410
8,408.7,410
9,408.3,410
10,408.8,410
11,408.6,410
12,408.8,410
13,407.5,410
14,408.6,410
15,408.7,410
16,409.2,410
17,408.5,410
18,408.8,410
19,409.1,410
20,409,410
21,409.4,410
22,408.9,410
23,409,410
24,409.1,410
25,409.5,410
26,409.2,410
27,409.9,410
28,409.6,410
29,410.1,411
30,409.7,411
31,410.3,412
32,410.1,412
33,410.1,412
34,409.3,412
35,410.2,412
36,410.1,412
37,410.4,412
38,409.6,412
39,410.2,412
40,410.4,412
41,411.2,412
42,411,412
43,411.4,412
44,411.7,412
45,412.1,415
46,412.4,415
47,412.6,415
48,413,415
49,413.2,415
50,413.4,415
51,413.8,415
52,414.2,415
53,414.7,416
54,415.1,416
55,414.6,416
56,415.3,417
57,415.5,417
58,415.7,417
59,414.7,417
60,416,417
61,416.5,417
62,415.8,417
63,416.6,417
64,416,417
65,416.1,417
66,416.8,417
67,415.9,417
68,416.3,417
69,417,417
70,416.1,417
71,416.6,417
72,416.2,417
73,415.9,417
74,415.1,417
75,416.7,418
76,416.4,418
77,415.6,418
78,416.1,418
79,416.2,418
80,416.8,418
81,416.3,418
82,417.1,418
83,416.5,418
84,417.4,418
85,417,418
86,417,418
87,417.6,418
88,417.1,418
89,416.8,418
90,418,418
91,417.8,418
92,417.4,418
93,416.9,418
94,417,418
95,417.7,418
96,417.7,418
97,418.1,419
98,418,419
99,417.3,419
100,417.6,419
