Gen,GenAvg,BestFit
0,394,406
1,397.3,407
2,400.9,407
3,403.1,407
4,405.1,407
5,405.9,407
6,406.6,407
7,406.8,407
8,406.9,407
9,406.9,407
10,407.1,408
11,407.1,408
12,406.8,408
13,407.6,409
14,407.8,409
15,408.1,409
16,408.3,409
17,408.6,410
18,408.8,410
19,409.2,410
20,409.3,410
21,409.7,412
22,410.3,414
23,411.1,414
24,411.5,416
25,412.5,416
26,413.6,416
27,414.9,418
28,414.9,418
29,416.3,418
30,416,418
31,416.3,418
32,416.8,418
33,417.3,418
34,417.8,419
35,418.2,420
36,418.5,420
37,418.2,420
38,418.2,420
39,419.1,420
40,419.4,420
41,419.2,420
42,419.7,420
43,419.8,420
44,419.6,420
45,420,420
46,418.2,420
47,419.5,420
48,420,420
49,420.1,421
50,420,421
51,420.1,421
52,419.8,421
53,419.4,421
54,420.3,421
55,420.3,421
56,420.3,421
57,420.8,422
58,420.9,422
59,421.4,422
60,421.5,422
61,421.3,422
62,421.7,422
63,421.8,422
64,421.8,422
65,421.7,422
66,421.2,422
67,421.6,422
68,421.9,422
69,421.2,422
70,420.7,422
71,419.9,422
72,421.8,422
73,421.2,422
74,421.9,422
75,421,422
76,420.7,422
77,420.6,422
78,421.7,422
79,421.9,422
80,421.4,422
81,422,422
82,422,422
83,420.1,422
84,421.2,422
85,421,422
86,421.2,422
87,421.5,422
88,420.6,422
89,421.9,422
90,421.2,422
91,421.8,422
92,421.7,422
93,421.7,422
94,422,422
95,421.8,422
96,422,422
97,422.1,424
98,422.5,424
99,422.8,424
100,422.9,424
