Gen,GenAvg,BestFit
0,389.8,401
1,394.1,406
2,396.8,406
3,398.4,406
4,401.2,406
5,403.6,406
6,405.3,406
7,405.8,406
8,406.2,408
9,405.8,408
10,406.2,408
11,405.6,408
12,407.2,408
13,407.9,412
14,408.1,412
15,408.5,412
16,408.4,412
17,408.8,412
18,408.9,412
19,409.2,413
20,409.8,413
21,409.8,413
22,410.4,413
23,410.8,413
24,411.9,413
25,411.9,413
26,412.6,413
27,412.5,413
28,412.4,413
29,413,413
30,412.3,413
31,411.9,413
32,410.5,413
33,411.8,413
34,412.4,413
35,411.9,413
36,412.1,413
37,412.2,413
38,412.4,413
39,412.2,413
40,412.6,414
41,413,414
42,413.1,416
43,413.6,416
44,414.3,416
45,414.2,416
46,414.2,416
47,415.6,417
48,414.8,418
49,416.4,418
50,416.9,418
51,417.3,418
52,417.2,418
53,416.7,418
54,417.9,418
55,418,418
56,417.4,418
57,418,418
58,417.6,418
59,417.4,418
60,416.8,418
61,417.8,419
62,417.6,419
63,418.3,419
64,416.9,419
65,418.2,419
66,418,419
67,418.1,419
68,418,419
69,417.6,419
70,418.4,419
71,418.6,419
72,417.8,419
73,419,419
74,418.7,419
75,418.8,419
76,417.8,419
77,417.6,419
78,417.6,419
79,416.2,419
80,417.5,419
81,418.2,419
82,418.9,419
83,418.1,419
84,418.4,419
85,418,419
86,418.6,419
87,418.3,419
88,418.9,419
89,418.3,419
90,418.4,419
91,418.8,419
92,418.9,419
93,417.8,419
94,418,419
95,417.7,419
96,419.1,420
97,418.4,420
98,418.5,420
99,417.9,420
100,417.6,420
