Run Number 10
Generation,Generation Average,Best Fitness Found
0,392.5,406
1,395.5,406
2,397.8,406
3,401,406
4,403.5,406
5,404.7,407
6,405.9,407
7,406.3,408
8,406.6,408
9,406.5,408
10,407.2,408
11,407.6,408
12,407.8,408
13,407.5,408
14,408,408
15,408,408
16,407.9,408
17,407.9,408
18,408,408
19,408,408
20,408,408
21,407.1,408
22,408,408
23,408,408
24,408,408
25,408,408
26,407.5,408
27,407,408
28,407,408
29,407.4,408
30,406.1,408
31,407.4,408
32,408,408
33,407.7,408
34,408,408
35,407.6,408
36,408,408
37,407.5,408
38,408.2,410
39,408.1,410
40,408.6,410
41,408.1,410
42,409.1,412
43,409,412
44,409.9,412
45,410.5,412
46,410.9,412
47,411.4,412
48,411.3,412
49,411.9,412
50,412,412
51,411.6,412
52,411.5,412
53,412,413
54,412.1,413
55,412.1,413
56,412,413
57,411.5,413
58,412.3,413
59,412.3,413
60,412.6,413
61,412.6,413
62,412.6,413
63,412.9,413
64,413,413
65,413,413
66,411.7,413
67,412.2,413
68,412.9,413
69,412.5,414
70,412.8,416
71,413.7,417
72,412.9,417
73,414.3,417
74,414.9,417
75,414.8,417
76,415.9,417
77,416.4,417
78,416.7,417
79,415.8,417
80,417.3,419
81,417.5,419
82,417.9,420
83,418.2,420
84,418.6,420
85,419.1,420
86,419.2,420
87,419.6,420
88,419.2,420
89,419.8,420
90,419.2,420
91,419.8,420
92,420,420
93,420.1,421
94,419.9,421
95,418.9,421
96,420,421
97,419.4,421
98,419.5,421
99,419.3,421
100,418.3,421
