Run Number 20
Generation,Generation Average,Best Fitness Found
0,390.45,403
1,393.15,404
2,394.7,404
3,396.55,405
4,398.25,405
5,400,405
6,401.05,405
7,402,405
8,402.6,405
9,403.2,406
10,403.75,406
11,404.25,407
12,404.75,407
13,405.15,408
14,405.5,408
15,405.9,408
16,406.3,408
17,406.6,408
18,406.65,408
19,407.05,408
20,407.3,408
21,407.45,408
22,407.65,408
23,407.95,411
24,408.1,411
25,408.45,411
26,408.7,411
27,408.75,411
28,408.95,411
29,409.35,413
30,409.7,413
31,410.15,413
32,410.55,413
33,410.9,413
34,410.9,413
35,411.15,413
36,410.55,413
37,411.45,414
38,411.5,414
39,411.9,414
40,412.25,414
41,412.5,414
42,412.8,414
43,412.95,415
44,413.2,415
45,413.45,415
46,413.25,415
47,413.4,415
48,413.9,415
49,414,415
50,414.2,415
