Gen,GenAvg,BestFit
0,371.4,396
1,384.7,400
2,389,400
3,391.7,401
4,394.7,401
5,397.7,401
6,398.9,401
7,400.1,401
8,400.3,401
9,401.6,406
10,402.8,408
11,403.6,409
12,405.1,409
13,405.7,409
14,406.9,409
15,407.4,409
16,407,409
17,407.2,409
18,407.6,409
19,407.9,409
20,408.1,409
21,407.6,409
22,408.5,409
23,408.2,409
24,408.1,409
25,408.8,409
26,408.9,409
27,408.8,409
28,408.5,409
29,409,409
30,409,409
31,408.9,409
32,408.8,409
33,408.5,409
34,408.4,409
35,409,409
36,408.7,409
37,408.9,409
38,409,409
39,409,409
40,408.9,409
41,409,409
42,408.4,409
43,408.5,409
44,409,409
45,408.6,409
46,408.9,409
47,408.6,409
48,409,409
49,409,409
50,408.9,409
