Gen,GenAvg,BestFit
0,374.7,397
1,380.2,397
2,383.4,397
3,386.5,397
4,388.2,397
5,392.4,399
6,394.6,399
7,396.7,399
8,397.9,400
9,399.1,403
10,400.1,403
11,401,403
12,401.7,403
13,401.9,403
14,402.2,403
15,402.4,403
16,402.6,403
17,402.7,403
18,402.9,403
19,402.9,403
20,402.9,403
21,402.9,403
22,403.1,404
23,402.9,404
24,403,404
25,403.4,404
26,403.6,404
27,403.7,404
28,403.9,404
29,404,404
30,403.9,404
31,404,404
32,404,404
33,404,404
34,404,404
35,403.4,404
36,403.9,404
37,404,404
38,404.2,405
39,404.5,406
40,404.5,406
41,404.5,406
42,405,406
43,405.4,406
44,405.6,406
45,405.8,406
46,406,406
47,405.8,406
48,405.9,406
49,406,406
50,406,406
