Gen,GenAvg,BestFit
0,373.3,393
1,378,393
2,381.3,393
3,385.5,393
4,388.6,393
5,391.2,396
6,391.7,396
7,391.7,396
8,392.4,396
9,393.1,396
10,389.7,396
11,393.4,396
12,393.7,396
13,393.9,396
14,394.2,397
15,394.6,397
16,395.6,399
17,396.6,399
18,397.7,400
19,398.4,400
20,399.1,405
21,399.8,405
22,399.5,405
23,401.4,405
24,402.9,409
25,404,409
26,405.4,409
27,406.4,409
28,407.4,409
29,406.8,409
30,408.6,409
31,408.7,409
32,409,409
33,407.4,409
34,408,409
35,408.9,409
36,409,409
37,409,409
38,406.8,409
39,408.8,409
40,408.5,409
41,408.7,409
42,408.9,409
43,409,409
44,408.6,409
45,408.9,409
46,409,409
47,408.2,409
48,409.1,411
49,409.4,411
50,409.3,412
