Gen,GenAvg,BestFit
0,371.9,380
1,374.2,380
2,375.7,381
3,378.2,383
4,380.6,388
5,382.8,390
6,384.7,390
7,387.1,395
8,388.8,395
9,390,395
10,390.1,395
11,390.2,395
12,392.8,395
13,393.5,395
14,394.5,395
15,395,395
16,395.3,398
17,395.6,398
18,394.6,398
19,396.4,398
20,396.9,398
21,396.1,398
22,397,398
23,397.3,398
24,396.7,398
25,397.8,398
26,398,398
27,396.6,398
28,396.8,398
29,397.6,398
30,397.8,398
31,398,398
32,396.9,398
33,398,398
34,397.8,398
35,397.5,398
36,398,398
37,397.6,398
38,397.8,398
39,397.2,398
40,397.6,398
41,396.8,398
42,397.8,398
43,397.6,398
44,398,398
45,398,398
46,398,398
47,398,398
48,398,401
49,398.6,401
50,399.2,401
