Gen,GenAvg,BestFit
0,376.2,399
1,381,399
2,388,399
3,390.6,399
4,393,399
5,394.9,399
6,396.8,404
7,398.4,404
8,399.6,404
9,401.3,404
10,402.2,404
11,403.2,404
12,404,404
13,404.1,405
14,404.2,405
15,403.7,405
16,404.5,405
17,404.7,405
18,404.5,405
19,404.3,405
20,405.1,406
21,405.2,406
22,405,406
23,405.5,406
24,405.2,406
25,405.3,406
26,405.7,406
27,405.6,406
28,405.8,406
29,405.9,406
30,401.7,406
31,405.6,406
32,406,406
33,405.6,406
34,406,406
35,405.9,406
36,405.9,406
37,405.4,406
38,405.9,406
39,405.1,406
40,405.6,406
41,405.4,406
42,406,406
43,405.3,406
44,405.7,406
45,405.8,406
46,405.8,406
47,406,406
48,406.1,407
49,405.2,407
50,405.6,407
