Gen,GenAvg,BestFit
0,375.8,395
1,384.1,397
2,391,397
3,394,397
4,394,397
5,395,397
6,395.8,397
7,396.3,399
8,397.4,401
9,398,402
10,399.1,403
11,400.3,404
12,401.3,405
13,402.1,405
14,402.9,405
15,403.3,405
16,403.9,405
17,404.1,405
18,404.2,405
19,404,405
20,404.7,406
21,404.6,406
22,404.6,406
23,404.6,406
24,404.8,406
25,404.8,406
26,404.7,406
27,404.9,406
28,404.5,406
29,404.8,406
30,404.9,406
31,404.9,406
32,404.9,406
33,404.2,406
34,404.3,406
35,404.6,406
36,404.6,406
37,404.9,406
38,405,406
39,405.1,406
40,404.8,406
41,405.4,406
42,405.6,406
43,405.7,406
44,405,407
45,404.7,407
46,405.6,407
47,405.8,407
48,405,407
49,405.3,407
50,405.1,407
