Gen,GenAvg,BestFit
0,361,387
1,374.4,389
2,380.2,391
3,383.9,391
4,386.8,391
5,388.7,391
6,385.6,391
7,389.8,391
8,390.5,392
9,391,392
10,391,392
11,391.4,393
12,387.5,393
13,391.5,393
14,391.8,393
15,392.2,393
16,392.6,393
17,393,394
18,393.4,394
19,393.5,394
20,393.6,394
21,393.9,395
22,394.2,395
23,394.3,395
24,394.6,396
25,394.8,396
26,395.1,397
27,395.5,397
28,395.8,397
29,395.7,397
30,396.4,397
31,396.8,397
32,395,397
33,396.9,397
34,397,397
35,397,397
36,397.1,398
37,397.1,398
38,397.1,398
39,397.3,398
40,397.3,398
41,397.5,398
42,397.5,398
43,397.8,398
44,397.8,398
45,398,398
46,398,398
47,398,398
48,397.5,398
49,397.9,398
50,398,398
