Gen,GenAvg,BestFit
0,379.2,392
1,382.9,403
2,388.2,405
3,392.7,406
4,394.9,406
5,399.4,406
6,402.3,406
7,404.6,407
8,405.7,407
9,405.5,407
10,406.2,408
11,406.5,408
12,407.1,408
13,407.1,408
14,406.4,408
15,407.5,408
16,407.6,409
17,407.8,409
18,408.3,409
19,408.6,409
20,408.7,409
21,408.9,409
22,408.1,409
23,409,409
24,409,409
25,408.8,409
26,408.8,409
27,409,409
28,408.9,409
29,409,409
30,408.9,409
31,409,409
32,408.6,409
33,409,409
34,408.7,409
35,408.8,409
36,406.5,409
37,409,409
38,408.6,409
39,408.9,409
40,409,409
41,408.7,409
42,408.5,409
43,408.9,409
44,406.1,409
45,408.8,409
46,409,409
47,408.8,409
48,408.9,409
49,409,409
50,405.9,410
