Gen,GenAvg,BestFit
0,374.4,387
1,380.1,387
2,383,387
3,384.2,387
4,385.3,388
5,386.9,390
6,387.6,390
7,388.4,391
8,389.1,393
9,390,393
10,390.6,393
11,392.1,398
12,392.3,398
13,392.4,398
14,392.9,398
15,393,398
16,394,399
17,394,399
18,394.6,399
19,394.5,399
20,395.6,399
21,395.7,399
22,397.3,399
23,397.9,399
24,398.4,399
25,398.5,399
26,398,399
27,398.8,399
28,399,399
29,398.9,399
30,398.5,399
31,398.4,399
32,398.9,399
33,398.8,399
34,399,399
35,398.9,399
36,399,399
37,399,399
38,398.3,399
39,399,399
40,398,399
41,398.8,399
42,397.3,399
43,398.3,399
44,398.2,399
45,387.1,399
46,398.8,399
47,389.3,399
48,397.7,399
49,398.1,399
50,397.3,399
