Gen,GenAvg,BestFit
0,360,394
1,379.2,394
2,386.7,399
3,391.2,401
4,395.1,401
5,397.3,402
6,399.3,402
7,400.7,402
8,401.6,403
9,402.1,403
10,402.4,403
11,402.6,403
12,402.8,403
13,403,403
14,403,403
15,403,403
16,400.2,403
17,401.6,404
18,402.2,404
19,403,404
20,401.2,404
21,403.2,404
22,403.5,404
23,403.7,404
24,403.8,404
25,404,404
26,403.7,404
27,403.8,404
28,404,404
29,404.1,405
30,404.2,405
31,404.4,405
32,403.8,405
33,404.7,405
34,404.9,405
35,405,405
36,404.2,405
37,404.9,405
38,405,405
39,404.8,405
40,405,405
41,405.2,406
42,404.8,406
43,405.5,406
44,405.8,407
45,404.7,407
46,406.1,407
47,406.2,407
48,406.4,407
49,406.5,407
50,406.1,407
