Gen,GenAvg,BestFit
0,371.9,397
1,381.7,397
2,384.2,397
3,390.7,399
4,393.4,399
5,395.9,399
6,397.9,399
7,398,399
8,397.8,399
9,398.3,399
10,398.6,399
11,395.9,400
12,399.2,400
13,399.4,400
14,399.6,400
15,399.7,400
16,399.9,400
17,400.1,401
18,399.7,401
19,400.5,403
20,400.5,403
21,401.3,403
22,401.7,403
23,402.3,403
24,402.6,403
25,402.8,403
26,403.1,404
27,403.3,404
28,403.5,404
29,403.7,404
30,403.8,404
31,403.9,404
32,403.7,404
33,404,404
34,404,404
35,404.1,405
36,404.2,405
37,404.2,405
38,404.3,405
39,404.5,405
40,404.7,405
41,404.9,405
42,404.8,405
43,404.9,405
44,404.9,405
45,404.7,405
46,405,405
47,405,405
48,404.8,405
49,404.8,405
50,405,405
