Gen,GenAvg,BestFit
0,379.4,399
1,386,406
2,391.9,406
3,395.9,406
4,399.5,406
5,400,406
6,399.9,406
7,402,407
8,403.9,407
9,405.5,407
10,406.1,407
11,406.4,407
12,401.6,407
13,406.3,407
14,406.8,407
15,407,407
16,407,407
17,407,407
18,407,407
19,401.5,408
20,407.2,408
21,407.4,408
22,407.2,408
23,406.6,408
24,407.6,408
25,407.8,408
26,407.9,408
27,408,408
28,408.1,409
29,408.2,409
30,408.3,409
31,408.5,409
32,408.6,409
33,408.3,409
34,408.9,409
35,408.9,409
36,408.9,409
37,409,409
38,408.9,409
39,409,409
40,409,409
41,408.5,409
42,409,409
43,408.5,409
44,409,409
45,408.4,409
46,408.9,409
47,409,409
48,409,409
49,409,409
50,408.9,409
