Gen,GenAvg,BestFit
0,371.4,391
1,378.5,391
2,380.5,391
3,386.3,391
4,389,391
5,390.4,391
6,390.8,391
7,391.1,392
8,391.1,392
9,391.4,392
10,391.4,392
11,391.6,392
12,391.9,394
13,392.1,394
14,392.6,394
15,393,394
16,393.4,394
17,393.9,395
18,394.2,395
19,394.4,395
20,394.6,395
21,394.8,395
22,394.7,395
23,394.9,395
24,395,395
25,395,395
26,395,395
27,394.4,395
28,395,395
29,394.9,395
30,395,395
31,395,395
32,395.1,396
33,395.1,396
34,395.3,396
35,395.5,396
36,395.7,396
37,395.7,396
38,396,397
39,396,397
40,395.6,397
41,395.8,397
42,396,397
43,396,397
44,396,397
45,395.9,397
46,396.4,400
47,397.2,400
48,398,400
49,397.7,400
50,399,400
