Run Number 4
Generation,Generation Average,Best Fitness Found
0,390.7,400
1,391.95,404
2,393.8,404
3,395.05,404
4,396.45,404
5,397.85,404
6,398.75,404
7,400,404
8,400.9,404
9,401.5,404
10,402,405
11,402.35,405
12,402.65,405
13,403.05,405
14,403.5,407
15,404,407
16,404.25,407
17,404.8,407
18,404.75,407
19,405.2,407
20,405.45,407
21,405.3,407
22,405.85,407
23,406,408
24,406.35,408
25,406.45,408
26,406.4,408
27,406.8,411
28,407,411
29,407.05,411
30,406.55,411
31,407.2,411
32,407.25,411
33,407.35,411
34,407.4,411
35,407.6,411
36,408.05,411
37,408.05,412
38,408.75,412
39,409.25,412
40,409.5,412
41,409.25,412
42,410.15,412
43,410.45,412
44,410.8,412
45,411.2,412
46,411.45,412
47,411.45,412
48,411.5,412
49,411.7,412
50,411.55,412
51,411.8,412
52,411.9,412
53,411.7,412
54,411.65,412
55,411.6,412
56,411.75,412
57,411.75,412
58,411.8,412
59,412,412
60,412,412
61,411.9,412
62,411.7,412
63,412,412
64,411.95,412
65,412,412
66,411.85,413
67,412,413
68,411.85,413
69,411.85,413
70,412.05,413
71,412.1,413
72,412.25,414
73,412.3,414
74,412.6,415
75,412.7,415
76,412.85,415
77,413.15,415
78,413.45,415
79,413.8,416
80,413.7,416
81,414.1,416
82,414.5,416
83,414.8,416
84,415,416
85,415.15,416
86,415.35,416
87,415.55,416
88,415.75,418
89,415.8,418
90,416,418
91,415.7,418
92,416.35,418
93,416.6,418
94,416.65,418
95,416.8,418
96,417,418
97,417.2,418
98,417.4,418
99,417.4,418
100,417.35,418
101,417.75,419
102,417.8,419
103,417.55,420
104,418.2,420
105,418.45,420
106,418.65,420
107,418.75,420
108,418.95,420
109,419.05,420
110,419.2,420
111,419.05,420
112,419.45,420
113,419.65,420
114,419.65,420
115,419.55,420
116,419.8,420
117,419.65,420
118,419.95,420
119,420,420
120,419.5,420
121,419.95,420
122,419.95,420
123,420,420
124,420,420
125,419.8,420
126,420,420
127,419.9,420
128,419.7,420
129,419.9,421
130,420,421
131,420.1,421
132,419.35,421
133,419.85,421
134,420.3,421
135,420.1,421
136,420.4,421
137,420.5,421
138,420.6,421
139,420.7,421
140,420.65,421
141,420.8,421
142,420.85,421
143,420.15,421
144,421,422
145,420.6,422
146,421.1,422
147,420.7,422
148,420.45,422
149,421.3,422
150,421.35,422
151,421.15,422
152,421.05,422
153,421.3,422
154,421.6,422
155,420.35,422
156,421.7,422
157,421.35,422
158,421.4,422
159,421.75,422
160,421.95,422
161,421.95,422
162,421.7,422
163,422,422
164,421.1,422
165,422,422
166,422,422
167,421.95,422
168,422.05,423
169,421.25,423
170,421.95,423
171,422.15,423
172,421.85,423
173,422.3,423
174,422.35,423
175,422.4,423
176,422.55,424
177,422.15,424
178,422.75,424
179,422,424
180,423,424
181,423.15,424
182,423.2,424
183,423.2,424
184,423.3,424
185,423.4,424
186,423.5,424
187,423.6,424
188,423.35,424
189,423.45,424
190,423.75,424
191,423.85,424
192,423.95,424
193,424,424
194,424,424
195,424,424
196,423.55,424
197,424,424
198,423.95,424
199,423.9,424
200,423.7,424
201,423.95,424
202,424,424
203,424,424
204,423.75,424
205,424,424
206,423.55,424
207,423.6,424
208,423.55,424
209,423.8,424
210,423.95,424
211,424,424
212,424,424
213,424,424
214,423.95,424
215,424,424
216,424,424
217,422.65,424
218,423.9,424
219,424,424
220,424,424
221,423.95,424
222,423.95,424
223,423.95,424
224,423.55,424
225,423.65,424
226,423.9,424
227,424,424
228,424,424
229,424,424
230,422.55,424
231,424,424
232,424,424
233,423.8,424
234,423.9,424
235,424,424
236,423.95,424
237,424,424
238,423.9,424
239,423.95,424
240,423.55,424
241,423.9,424
242,424,424
243,424,424
244,424,424
245,423.6,424
246,423.9,424
247,423.95,424
248,423.95,424
249,423.7,424
250,424,424
