Gen,GenAvg,BestFit
0,390.35,408
1,393.85,410
2,396.6,410
3,399.15,410
4,401.55,410
5,403.65,410
6,405.3,412
7,406.4,412
8,407.85,412
9,408.55,412
10,409.6,412
11,410.45,412
12,410.85,412
13,410.95,412
14,411.25,412
15,411.45,412
16,411.65,412
17,411.7,412
18,411.8,412
19,411.85,412
20,411.9,412
21,412,412
22,412,412
23,412,412
24,412,412
25,411.8,412
26,411.8,412
27,411.95,412
28,411.95,412
29,412,412
30,411.4,412
31,411.95,412
32,411.95,412
33,411.9,412
34,411.95,412
35,412.05,413
36,412.1,413
37,412.1,413
38,412.25,413
39,412.4,414
40,412.55,414
41,412.65,414
42,412.8,414
43,412.95,414
44,413.05,415
45,413,415
46,413.45,415
47,413.8,416
48,414.05,416
49,414.25,416
50,414.55,416
51,414.85,416
52,415.1,416
53,415,416
54,415.4,416
55,415.5,416
56,415.55,416
57,415.7,416
58,415.8,416
59,415.95,417
60,416.1,417
61,416.15,417
62,415.85,417
63,416.3,417
64,416.2,417
65,416.3,417
66,416.45,418
67,416.5,418
68,416.65,418
69,416.75,418
70,416.95,418
71,416.6,418
72,416.55,418
73,416.9,418
74,417.15,418
75,416.9,418
76,417.35,418
77,417.45,418
78,417.55,418
79,417.55,418
80,417.6,418
81,417.7,418
82,417.75,418
83,417.8,418
84,417.9,418
85,418,418
86,418,418
87,417.8,418
88,417.95,418
89,418,418
90,418,418
91,418,418
92,416.7,418
93,417.95,418
94,418.05,419
95,418.05,419
96,418.05,419
97,418,419
98,417.7,419
99,418.15,419
100,418.25,419
101,418.3,419
102,418.15,419
103,418.45,419
104,418.55,419
105,418.6,419
106,418.65,419
107,417.15,419
108,418.8,419
109,418.7,419
110,418.85,419
111,419,419
112,418.45,419
113,418.9,419
114,418.9,419
115,418.85,419
116,418.9,419
117,418.8,419
118,418.9,419
119,419.05,420
120,419.1,420
121,418.9,420
122,419.05,420
123,418.95,420
124,419.1,420
125,419.15,420
126,419.35,420
127,419.1,420
128,418.95,420
129,418.75,420
130,418.15,420
131,419.6,420
132,419.55,420
133,419.75,420
134,419.8,420
135,419.95,421
136,420.1,421
137,420,421
138,420.2,421
139,419.4,421
140,420.35,421
141,420.2,422
142,420.6,422
143,420.7,422
144,420.9,422
145,420.45,422
146,421.05,422
147,421.25,422
148,421.45,422
149,421.55,422
150,421.65,422
151,421.7,422
152,421.45,422
153,420.6,422
154,421.85,422
155,421.75,422
156,422,422
157,422,422
158,421.6,422
159,421.7,422
160,421.95,422
161,421.75,422
162,421.85,422
163,421.7,422
164,421.85,422
165,421.85,422
166,421.7,422
167,421.85,422
168,421.25,422
169,421.7,422
170,421.05,422
171,421.95,422
172,422,422
173,421.9,422
174,420.35,422
175,420.5,422
176,422,422
177,422,422
178,422,422
179,422,422
180,421.05,422
181,421.9,422
182,421.95,422
183,421.15,422
184,421.05,422
185,421.5,422
186,421.8,422
187,421.8,422
188,421.95,422
189,420.2,422
190,422,422
191,421.95,422
192,421.9,422
193,422.05,423
194,422.1,423
195,422.2,423
196,421.8,423
197,422.3,423
198,422.4,423
199,421.6,423
200,422.55,423
201,421.65,423
202,421.7,423
203,422.7,423
204,422.6,423
205,422.85,423
206,422.9,423
207,423,423
208,422.85,423
209,421.95,423
210,422.35,423
211,423,423
212,422.95,423
213,422.9,423
214,423,423
215,421.9,423
216,422.85,423
217,422.95,423
218,422.85,423
219,422.85,423
220,422.8,423
221,422.5,423
222,422.9,423
223,422.95,423
224,422.8,423
225,423,423
226,423,423
227,422.8,423
228,421.5,423
229,423,423
230,423,423
231,422,423
232,422.95,423
233,422.95,423
234,422.5,423
235,422.8,423
236,422.95,423
237,423,423
238,422,423
239,422.85,423
240,422.55,423
241,422.3,423
242,423,424
243,422.9,424
244,423.15,424
245,423.2,424
246,423,424
247,422.2,424
248,422.45,424
249,423.1,424
250,423.15,424
