Gen,GenAvg,BestFit
0,395.7,406
1,398.1,414
2,399.55,414
3,401.45,414
4,403.15,415
5,404.85,415
6,406.9,415
7,408.2,415
8,410,416
9,411.3,416
10,412.5,416
11,413.15,416
12,414.1,416
13,414.7,416
14,415,416
15,415.1,416
16,415.2,416
17,415.35,416
18,415.35,416
19,415.5,416
20,415.65,417
21,415.8,417
22,415.95,417
23,416.05,417
24,416.25,417
25,416.3,417
26,416.45,418
27,416.6,418
28,416.7,418
29,416.8,418
30,416.85,418
31,417.05,418
32,417.25,418
33,417.45,418
34,417.45,418
35,417.6,418
36,417.65,418
37,417.75,418
38,417.75,420
39,418,420
40,418.25,420
41,417.95,420
42,418.3,420
43,418.5,420
44,418.7,420
45,418.35,420
46,418.95,420
47,419.05,420
48,419.15,420
49,419.15,420
50,419.35,420
51,418.9,420
52,419.6,420
53,419.7,420
54,419.25,420
55,419.75,420
56,419.85,420
57,419.85,420
58,419.9,420
59,420,420
60,419.9,420
61,420,420
62,420,420
63,419.8,420
64,419.95,420
65,419.9,420
66,419.6,420
67,419.95,420
68,420,420
69,419.9,420
70,420,420
71,419.9,420
72,420,420
73,419.95,420
74,419.55,420
75,420,420
76,420,420
77,419.35,420
78,419.6,420
79,420,420
80,420,420
81,420,420
82,419.9,420
83,419.9,420
84,420,420
85,419.95,420
86,419.95,420
87,420,421
88,420.05,421
89,420.2,421
90,420.3,421
91,420.3,421
92,420.45,421
93,420.6,422
94,420.3,422
95,420.65,422
96,420.7,422
97,420.85,422
98,421.05,422
99,421.25,422
100,421.45,422
101,421.55,422
102,421.65,422
103,421.7,422
104,421.75,422
105,421.75,422
106,421.9,422
107,422,422
108,422,422
109,421.95,422
110,421.95,422
111,421.95,422
112,421.9,422
113,421.4,422
114,421.8,422
115,421.9,422
116,421.9,422
117,422,422
118,421.8,422
119,421.9,422
120,421.6,422
121,422,422
122,422,422
123,421.85,422
124,421.95,422
125,422,422
126,422,422
127,421.95,422
128,422,422
129,421.9,422
130,421.4,422
131,421.85,422
132,422,422
133,421.6,422
134,421.6,422
135,421.95,422
136,421.65,422
137,421.5,422
138,421.9,422
139,421.5,422
140,421.85,422
141,421.95,422
142,421.7,422
143,421.8,422
144,422,422
145,422,422
146,421.75,422
147,421.85,422
148,422,422
149,422,422
150,422,422
151,421.65,422
152,421.95,422
153,422,422
154,421.45,422
155,421.85,422
156,421.9,422
157,421.95,422
158,421.9,422
159,422,422
160,421.9,422
161,421.7,422
162,421.85,422
163,422,422
164,421.95,422
165,421.8,422
166,422,423
167,422.05,423
168,421.95,423
169,421.05,423
170,421.5,423
171,421.9,423
172,421.7,423
173,422.2,423
174,422.3,423
175,422.4,423
176,422.55,424
177,422.7,424
178,422.1,424
179,422.9,424
180,423.1,424
181,422.7,424
182,423.05,424
183,423.35,424
184,423.5,424
185,423.6,424
186,423.25,424
187,423.7,424
188,422.65,424
189,422.95,424
190,423.85,424
191,423.45,424
192,423.7,424
193,423.95,424
194,423.75,424
195,423.3,424
196,423.8,424
197,424,425
198,423.95,425
199,424,425
200,424.2,425
201,423.8,425
202,424.35,425
203,424.3,425
204,424.45,426
205,424.65,426
206,424.9,427
207,424.3,427
208,425.1,427
209,425.45,427
210,425.4,427
211,425.8,427
212,426,427
213,425.85,427
214,426.15,427
215,426.05,427
216,425.65,427
217,426.25,427
218,425.95,427
219,426.55,427
220,426.5,427
221,426.75,427
222,425.75,427
223,426.7,427
224,426.8,427
225,426.7,427
226,426.9,427
227,426.85,427
228,426.25,427
229,426.85,427
230,427,427
231,426.75,427
232,426.7,427
233,426.9,427
234,426.8,427
235,425.95,427
236,426.3,427
237,426.3,427
238,426.85,427
239,427,427
240,426.1,427
241,427,427
242,426.7,427
243,426.25,427
244,427,427
245,426.75,427
246,426.9,427
247,426.2,427
248,426.9,427
249,427,427
250,426.85,427
